Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bugeaud Pierre-Alexandre O.N. - P.I.Q.;Féné Wenet P.L.Q./Q.L.P.;Gadoury Hamelin Diane P.Q.;Giroux Éric É.A.P. - P.C.Q.;Lemay Mathieu C.A.Q.-É.F.L.;St-Pierre Joëlle Q.S.;B.V.;B.R.;
465;Masson;2014-04-07;G;Mascouche, v;4;;111A;230;0;15;34;2;61;10;122;0;
465;Masson;2014-04-07;G;Mascouche, v;4;;111B;345;1;38;62;0;108;6;215;0;
465;Masson;2014-04-07;G;Mascouche, v;4;;111C;326;0;50;60;2;89;10;211;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;111D;395;3;42;58;4;116;18;241;2;
465;Masson;2014-04-07;G;Mascouche, v;4;;112;561;2;38;74;0;91;8;213;5;
465;Masson;2014-04-07;G;Mascouche, v;4;;113;273;0;16;40;0;48;14;118;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;114;308;0;33;40;0;80;7;160;6;
465;Masson;2014-04-07;G;Mascouche, v;4;;115;315;0;29;67;1;74;8;179;5;
465;Masson;2014-04-07;G;Mascouche, v;4;;116;310;0;14;56;1;65;8;144;7;
465;Masson;2014-04-07;G;Mascouche, v;4;;117;274;1;14;53;3;66;9;146;4;
465;Masson;2014-04-07;G;Mascouche, v;4;;118;262;1;26;66;2;63;12;170;0;
465;Masson;2014-04-07;G;Mascouche, v;4;;119;290;1;21;53;4;60;7;146;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;120;272;1;23;36;0;55;2;117;4;
465;Masson;2014-04-07;G;Mascouche, v;5;;121;628;1;32;66;0;63;15;177;4;
465;Masson;2014-04-07;G;Mascouche, v;5;;122;321;1;30;61;2;77;22;193;7;
465;Masson;2014-04-07;G;Mascouche, v;5;;123;304;3;20;67;2;91;9;192;6;
465;Masson;2014-04-07;G;Mascouche, v;5;;124;309;4;17;72;0;61;18;172;3;
465;Masson;2014-04-07;G;Mascouche, v;5;;125;311;2;31;62;3;70;24;192;7;
465;Masson;2014-04-07;G;Mascouche, v;5;;126;316;2;19;51;0;84;12;168;2;
465;Masson;2014-04-07;G;Mascouche, v;5;;127;419;1;37;54;8;85;13;198;7;
