Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alexander Molly Q.S.;Blais Marguerite P.L.Q./Q.L.P.;Boulanger Louis-Philippe C.A.Q.-É.F.L.;Forest Étienne O.N. - P.I.Q.;Fournier Véronique P.Q.;Kruzynski Anna P.N.;Sanchez Jairo Gaston B.P.;Sweeney Sharon P.V.Q./G.P.Q.;B.V.;B.R.;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;82;318;31;60;21;0;27;1;3;3;146;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;83;335;28;90;13;1;23;1;2;8;166;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;84;338;18;72;11;1;34;3;0;7;146;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;85;415;20;93;23;1;47;1;0;2;187;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;86;353;31;73;17;1;60;5;2;5;194;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;87;329;22;83;28;0;29;1;2;4;169;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;88;329;33;58;15;1;51;4;0;5;167;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;89;298;28;50;20;0;37;4;2;1;142;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;90;366;47;73;22;1;52;2;2;5;204;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;91;334;32;70;17;1;39;4;1;2;166;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;92;318;21;93;18;1;36;1;1;2;173;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;99;;93;311;12;91;20;0;25;1;0;0;149;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;100;;94;323;17;112;28;1;28;1;1;0;188;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;100;;95;299;28;81;16;7;36;2;7;4;181;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;100;;96;324;24;98;16;1;25;2;0;6;172;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;100;;97;314;13;96;18;0;29;0;2;3;161;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;100;;98;305;21;51;23;1;43;2;1;4;146;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;100;;99;384;32;69;20;2;49;5;1;8;186;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;100;355;34;84;17;2;40;3;2;8;190;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;101;341;31;79;6;1;34;4;2;4;161;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;102;333;45;93;13;1;26;1;1;6;186;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;103A;317;23;99;21;0;37;2;1;3;186;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;103B;241;17;68;33;1;19;0;1;2;141;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;104A;246;30;75;18;0;23;0;0;5;151;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;104B;241;16;76;10;0;11;3;1;3;120;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;101;;105;339;33;106;14;2;18;1;1;8;183;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;102;;106;323;13;126;7;0;12;0;0;3;161;0;
