Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dastous Luc P.L.Q./Q.L.P.;Fillion François P.V.Q./G.P.Q.;Landry Jean É.A.P. - P.C.Q.;Letendre Christine Q.S.;Roy Sylvie C.A.Q.-É.F.L.;St-Arnaud Gaëtan P.Q.;B.V.;B.R.;
323;Arthabaska;2014-04-07;G;Notre-Dame-de-Lourdes, p;1;;110;258;39;1;1;6;112;15;174;4;
323;Arthabaska;2014-04-07;G;Plessisville, v;1;;111;401;56;0;2;8;109;28;203;4;
323;Arthabaska;2014-04-07;G;Plessisville, v;1;;112;407;41;6;3;6;130;22;208;5;
323;Arthabaska;2014-04-07;G;Plessisville, v;1;;113;384;68;1;0;2;94;30;195;1;
323;Arthabaska;2014-04-07;G;Plessisville, v;1;;114;395;68;2;0;14;124;16;224;2;
323;Arthabaska;2014-04-07;G;Plessisville, v;1;;115;403;55;3;0;9;118;23;208;4;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;116;399;67;2;2;6;126;25;228;2;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;117;547;52;1;1;13;103;23;193;2;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;118;391;40;4;3;15;85;21;168;6;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;119;402;56;6;1;16;88;28;195;0;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;120;388;54;5;1;4;113;24;201;3;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;121;449;59;1;1;6;132;21;220;2;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;122;381;80;1;0;5;80;21;187;5;
323;Arthabaska;2014-04-07;G;Plessisville, v;2;;123;375;62;0;0;7;114;23;206;0;
323;Arthabaska;2014-04-07;G;Plessisville, p;1;;124;337;50;2;0;3;122;30;207;4;
323;Arthabaska;2014-04-07;G;Plessisville, p;1;;125;349;48;2;0;8;104;14;176;3;
323;Arthabaska;2014-04-07;G;Plessisville, p;1;;126;343;46;2;2;9;100;19;178;4;
323;Arthabaska;2014-04-07;G;Plessisville, p;1;;127;339;60;0;1;5;117;21;204;1;
323;Arthabaska;2014-04-07;G;Plessisville, p;1;;128;337;58;0;1;6;116;20;201;1;
323;Arthabaska;2014-04-07;G;Plessisville, p;1;;129;331;44;0;2;3;121;19;189;4;
323;Arthabaska;2014-04-07;G;Laurierville, m;1;;130;354;74;1;2;8;114;10;209;0;
323;Arthabaska;2014-04-07;G;Laurierville, m;1;;131;359;42;0;5;8;116;17;188;3;
323;Arthabaska;2014-04-07;G;Laurierville, m;1;;132;367;65;4;1;7;125;14;216;1;
323;Arthabaska;2014-04-07;G;Lyster, m;1;;133;294;53;5;5;7;97;28;195;0;
323;Arthabaska;2014-04-07;G;Lyster, m;1;;134;306;56;2;3;7;104;26;198;0;
323;Arthabaska;2014-04-07;G;Lyster, m;1;;135;337;71;3;5;3;131;14;227;0;
323;Arthabaska;2014-04-07;G;Lyster, m;1;;136;316;64;0;3;4;107;22;200;2;
323;Arthabaska;2014-04-07;G;Inverness, m;1;;137;326;65;2;2;15;100;29;213;1;
323;Arthabaska;2014-04-07;G;Inverness, m;1;;138;349;70;2;1;12;109;37;231;1;
323;Arthabaska;2014-04-07;G;Saint-Pierre-Baptiste, p;1;;139;393;47;2;2;10;172;31;264;2;
323;Arthabaska;2014-04-07;G;Sainte-Sophie-d'Halifax, m;1;;140;229;27;0;2;12;95;15;151;2;
323;Arthabaska;2014-04-07;G;Sainte-Sophie-d'Halifax, m;1;;141;237;31;1;2;13;86;32;165;4;
323;Arthabaska;2014-04-07;G;Saint-Ferdinand, m;1;;142;329;64;0;0;4;90;20;178;3;
323;Arthabaska;2014-04-07;G;Saint-Ferdinand, m;1;;143;330;54;4;2;9;93;16;178;1;
323;Arthabaska;2014-04-07;G;Saint-Ferdinand, m;1;;144;333;40;1;0;10;71;17;139;0;
323;Arthabaska;2014-04-07;G;Saint-Ferdinand, m;1;;145;326;56;0;0;6;96;21;179;1;
323;Arthabaska;2014-04-07;G;Saint-Ferdinand, m;1;;146;349;50;0;4;9;92;16;171;6;
323;Arthabaska;2014-04-07;G;Saint-Norbert-d'Arthabaska, m;1;;147;304;39;3;4;14;101;43;204;2;
323;Arthabaska;2014-04-07;G;Saint-Norbert-d'Arthabaska, m;1;;148;311;61;0;2;7;109;33;212;3;
323;Arthabaska;2014-04-07;G;Saint-Norbert-d'Arthabaska, m;1;;149;314;37;1;0;9;126;25;198;2;
