Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonneau Pierre-Louis É.A.P. - P.C.Q.;Brunelle Diego C.A.Q.-É.F.L.;de Repentigny André O.N. - P.I.Q.;Deschênes Alexis P.Q.;Girard Jean-Denis P.L.Q./Q.L.P.;Landry Jean-Claude Q.S.;B.V.;B.R.;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;18;;65;390;1;55;3;71;94;16;240;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;19;;66;365;1;42;2;75;62;15;197;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;19;;67;370;1;57;0;65;93;25;241;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;19;;68;356;1;54;1;64;78;21;219;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;19;;69;346;3;44;0;70;85;10;212;7;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;19;;70;372;2;62;0;62;55;14;195;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;19;;71;365;1;53;1;42;66;22;185;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;20;;72;393;4;51;1;54;54;23;187;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;20;;73;409;3;46;1;52;60;16;178;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;20;;74;390;1;41;1;57;80;19;199;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;20;;75;366;1;23;4;36;51;13;128;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;20;;76;511;1;39;2;48;64;7;161;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;21;;77;362;0;36;1;57;59;14;167;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;21;;78;367;1;47;1;60;45;15;169;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;21;;79;380;1;27;0;32;46;11;117;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;21;;80;364;0;48;2;51;55;10;166;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;21;;81;395;1;48;3;44;78;13;187;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;21;;82;364;1;46;0;38;76;16;177;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;83;353;0;54;0;44;90;18;206;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;84;342;2;39;0;42;77;11;171;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;85;353;5;41;2;30;50;7;135;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;86;349;3;34;0;36;53;12;138;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;87;347;0;34;2;47;68;9;160;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;88;353;0;37;0;51;67;13;168;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;22;;89;344;0;55;0;52;76;17;200;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;90;350;1;49;0;45;53;15;163;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;91;364;4;61;1;48;81;9;204;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;92;368;1;78;0;31;97;15;222;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;93;365;0;53;1;50;96;17;217;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;94;358;2;62;0;53;71;15;203;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;95;398;2;62;0;74;98;19;255;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;96;363;1;58;0;55;55;21;190;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;97;363;2;38;0;72;68;12;192;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;23;;98;359;0;67;0;54;63;11;195;0;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;24;;99;356;1;38;1;53;62;14;169;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;24;;100;374;1;61;3;57;47;22;191;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;24;;101;378;1;80;0;44;67;5;197;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;24;;102;407;8;67;1;50;59;16;201;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;24;;103;371;1;49;3;39;52;16;160;4;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;24;;104;372;1;54;0;53;73;14;195;5;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;25;;105;363;3;78;0;50;50;19;200;0;
