Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubin Patrice É.A.P. - P.C.Q.;Comeau Benoit Q.S.;Goupil Linda P.Q.;Lachance Stéphanie C.A.Q.-É.F.L.;Lefebvre Mathilde O.N. - P.I.Q.;Vien Dominique P.L.Q./Q.L.P.;B.V.;B.R.;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;74A;247;2;2;25;78;0;73;180;0;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;74B;184;8;2;6;44;2;59;121;0;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;75;280;3;4;19;49;0;88;163;1;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;76;308;4;6;24;84;4;95;217;1;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;77;279;2;6;28;62;0;108;206;3;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;78;310;2;7;33;73;2;77;194;0;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;79;293;3;4;23;83;0;63;176;0;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;80;325;3;4;17;81;1;77;183;0;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;81;319;1;8;21;54;1;82;167;1;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;82A;344;3;5;23;78;1;72;182;2;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;82B;307;2;3;20;83;0;73;181;2;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;83;291;3;2;16;75;1;53;150;0;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;84;312;1;1;14;73;1;73;163;5;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;85;309;3;1;14;64;0;94;176;1;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;86;362;2;1;17;90;1;85;196;0;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;87;283;0;4;16;60;0;78;158;2;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;88;365;2;1;17;78;1;99;198;0;
303;Bellechasse;2014-04-07;G;Saint-Henri, m;1;;89;280;2;2;18;65;1;67;155;2;
303;Bellechasse;2014-04-07;G;Saint-Charles-de-Bellechasse, m;1;;90;334;1;2;23;68;0;96;190;1;
303;Bellechasse;2014-04-07;G;Saint-Charles-de-Bellechasse, m;1;;91;316;2;4;29;98;1;85;219;2;
303;Bellechasse;2014-04-07;G;Saint-Charles-de-Bellechasse, m;1;;92;218;3;5;15;46;1;70;140;3;
303;Bellechasse;2014-04-07;G;Saint-Charles-de-Bellechasse, m;1;;93;365;1;9;34;88;0;116;248;2;
303;Bellechasse;2014-04-07;G;Saint-Charles-de-Bellechasse, m;1;;94;298;4;9;26;70;1;84;194;4;
303;Bellechasse;2014-04-07;G;Saint-Charles-de-Bellechasse, m;1;;95;300;2;3;28;78;1;99;211;6;
303;Bellechasse;2014-04-07;G;La Durantaye, p;1;;96;277;3;3;17;60;1;82;166;0;
303;Bellechasse;2014-04-07;G;La Durantaye, p;1;;97;319;2;9;40;72;0;90;213;2;
303;Bellechasse;2014-04-07;G;Saint-Raphaël, m;1;;98;323;6;4;26;59;3;70;168;1;
303;Bellechasse;2014-04-07;G;Saint-Raphaël, m;1;;99;300;1;10;30;93;2;84;220;1;
303;Bellechasse;2014-04-07;G;Saint-Raphaël, m;1;;100;300;4;2;19;63;0;122;210;1;
303;Bellechasse;2014-04-07;G;Saint-Raphaël, m;1;;101;310;0;2;12;80;0;118;212;5;
303;Bellechasse;2014-04-07;G;Saint-Raphaël, m;1;;102;311;1;4;16;65;4;82;172;6;
303;Bellechasse;2014-04-07;G;Saint-Raphaël, m;1;;103;297;2;4;16;63;0;119;204;2;
303;Bellechasse;2014-04-07;G;Saint-Vallier, m;1;;104;285;1;9;18;73;0;79;180;4;
303;Bellechasse;2014-04-07;G;Saint-Vallier, m;1;;105;266;2;11;34;56;2;72;177;0;
303;Bellechasse;2014-04-07;G;Saint-Vallier, m;1;;106;267;0;16;24;60;0;73;173;1;
303;Bellechasse;2014-04-07;G;Saint-Michel-de-Bellechasse, m;1;;107;286;0;7;25;42;0;89;163;1;
303;Bellechasse;2014-04-07;G;Saint-Michel-de-Bellechasse, m;1;;108;281;1;9;18;48;1;79;156;2;
303;Bellechasse;2014-04-07;G;Saint-Michel-de-Bellechasse, m;1;;109;274;0;9;39;48;1;60;157;4;
303;Bellechasse;2014-04-07;G;Saint-Michel-de-Bellechasse, m;1;;110;281;2;8;18;59;1;77;165;2;
303;Bellechasse;2014-04-07;G;Saint-Michel-de-Bellechasse, m;1;;111;267;3;8;19;62;0;59;151;2;
303;Bellechasse;2014-04-07;G;Beaumont, m;1;;112;433;3;11;30;58;1;75;178;5;
303;Bellechasse;2014-04-07;G;Beaumont, m;1;;113;337;4;2;39;80;3;93;221;2;
303;Bellechasse;2014-04-07;G;Beaumont, m;1;;114;347;0;14;40;97;0;88;239;5;
