Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Pierre O.N. - P.I.Q.;Besner Marie-Neige Q.S.;Cyr Tom-Henri B.P.;Fleurent Steven C.A.Q.-É.F.L.;Gagnon Pier-Luc P.N.;Huot Pierre P.L.Q./Q.L.P.;Lebel Harold P.Q.;B.V.;B.R.;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;75;412;2;28;0;30;3;74;93;230;0;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;76;395;3;28;0;17;3;35;52;138;2;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;77;382;2;21;0;18;0;39;72;152;3;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;78A;261;0;16;1;14;2;45;50;128;1;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;78B;256;4;20;0;25;4;32;43;128;4;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;79A;212;0;15;0;23;0;26;45;109;4;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;79B;270;1;16;0;30;3;49;50;149;3;
703;Rimouski;2014-04-07;G;Rimouski, v;9;;80;392;4;38;0;8;0;63;76;189;1;
703;Rimouski;2014-04-07;G;Rimouski, v;9;;81;377;1;35;1;21;1;52;76;187;2;
703;Rimouski;2014-04-07;G;Rimouski, v;9;;82;371;3;39;1;14;0;41;61;159;3;
703;Rimouski;2014-04-07;G;Rimouski, v;9;;83;390;8;35;2;13;3;37;58;156;1;
703;Rimouski;2014-04-07;G;Rimouski, v;9;;84;360;2;50;4;23;3;38;52;172;1;
703;Rimouski;2014-04-07;G;Rimouski, v;9;;85;441;3;26;1;13;0;48;65;156;0;
703;Rimouski;2014-04-07;G;Rimouski, v;10;;86;361;3;32;1;13;2;31;53;135;3;
703;Rimouski;2014-04-07;G;Rimouski, v;10;;87;381;1;29;0;9;2;32;41;114;3;
703;Rimouski;2014-04-07;G;Rimouski, v;10;;88;391;0;38;1;11;4;47;38;139;2;
703;Rimouski;2014-04-07;G;Rimouski, v;10;;89;458;3;53;0;12;1;60;46;175;1;
703;Rimouski;2014-04-07;G;Rimouski, v;10;;90;632;3;13;0;7;3;44;33;103;2;
703;Rimouski;2014-04-07;G;Rimouski, v;11;;91;363;2;33;1;19;1;45;53;154;1;
703;Rimouski;2014-04-07;G;Rimouski, v;11;;92;409;3;42;1;20;0;40;68;174;3;
703;Rimouski;2014-04-07;G;Rimouski, v;11;;93;394;0;38;1;18;1;42;77;177;5;
703;Rimouski;2014-04-07;G;Rimouski, v;11;;94;383;1;30;2;18;1;76;53;181;2;
703;Rimouski;2014-04-07;G;Rimouski, v;11;;95;397;1;47;1;12;2;43;75;181;1;
703;Rimouski;2014-04-07;G;Rimouski, v;12;;96;438;0;37;1;28;0;59;63;188;7;
703;Rimouski;2014-04-07;G;Rimouski, v;12;;97;366;1;36;0;35;3;59;72;206;4;
703;Rimouski;2014-04-07;G;Rimouski, v;12;;98;390;0;43;0;34;3;79;87;246;1;
703;Rimouski;2014-04-07;G;Rimouski, v;12;;99;378;1;27;3;36;2;73;83;225;2;
703;Rimouski;2014-04-07;G;Rimouski, v;13;;100;419;2;24;2;19;0;65;111;223;5;
703;Rimouski;2014-04-07;G;Rimouski, v;13;;101;415;1;32;0;20;3;68;116;240;7;
703;Rimouski;2014-04-07;G;Rimouski, v;13;;102;393;0;50;0;31;1;57;94;233;6;
