Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Alexandre P.Q.;Dubé Francis P.N.;Fauteux-Aïmola Sabrina O.N. - P.I.Q.;Gagnon Pascal P.L.Q./Q.L.P.;Lavoie Yann É.A.P. - P.C.Q.;Marchildon Élise C.A.Q.-É.F.L.;Plamondon Frédérick Q.S.;B.V.;B.R.;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Bruno, m;1;;94;404;96;2;2;65;5;52;17;239;6;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Bruno, m;1;;95A;237;48;1;1;65;2;32;11;160;1;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Bruno, m;1;;95B;211;50;2;2;32;3;32;11;132;0;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Bruno, m;1;;96;405;102;2;4;65;5;55;10;243;1;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Bruno, m;1;;97;417;94;2;3;48;4;40;10;201;8;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Bruno, m;1;;98;409;103;3;0;70;4;41;16;237;5;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Gédéon, m;1;;99;325;95;1;2;46;1;43;12;200;1;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Gédéon, m;1;;100;337;112;1;0;43;0;47;15;218;2;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Gédéon, m;1;;101;355;97;2;2;77;1;30;17;226;4;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Gédéon, m;1;;102;307;96;1;0;46;2;46;18;209;1;
779;Lac-Saint-Jean;2014-04-07;G;Saint-Gédéon, m;1;;103;344;121;2;0;61;3;39;9;235;5;
