Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Frédéric P.N.;Chabot Isabelle P.L.Q./Q.L.P.;Lebel Daniel P.Q.;Phénix Alexandre O.N. - P.I.Q.;Picard François É.A.P. - P.C.Q.;Schneeberger Sébastien C.A.Q.-É.F.L.;Soulard Francis Q.S.;B.V.;B.R.;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;71;371;2;61;66;0;1;85;13;228;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;72;379;1;52;47;0;1;71;16;188;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;73;366;1;56;45;0;1;77;11;191;0;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;74;397;1;64;47;0;1;104;10;227;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;75;371;1;52;54;2;2;105;9;225;6;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;76;373;1;31;48;4;5;108;12;209;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;77;386;2;41;55;1;1;94;11;205;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;78;379;0;42;66;0;0;97;11;216;0;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;79;379;5;44;66;2;1;97;11;226;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;80;374;5;36;53;1;1;75;17;188;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;81;375;4;48;68;0;2;103;18;243;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;82;379;0;59;61;0;0;95;10;225;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;83;379;1;36;77;0;2;100;15;231;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;84;383;2;50;54;0;4;90;8;208;7;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;4;;85;414;2;33;49;2;0;64;17;167;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;5;;86;413;1;28;30;0;1;32;13;105;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;5;;87;605;3;33;47;2;1;68;21;175;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;5;;88;335;1;39;48;4;3;75;13;183;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;5;;89;346;5;44;43;0;0;57;10;159;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;5;;90;1092;2;56;44;0;3;49;7;161;6;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;5;;91;428;2;27;52;0;0;49;8;138;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;92;406;1;34;48;4;0;64;22;173;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;93;399;2;39;46;1;2;45;9;144;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;94;438;2;29;54;0;1;52;19;157;7;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;6;;95;441;1;31;54;1;1;48;30;166;3;
