Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dion Marc Q.S.;Dubois Jean-René P.Q.;Lachapelle Marjolaine O.N. - P.I.Q.;Laquerre Guillaume É.A.P. - P.C.Q.;Martel Donald C.A.Q.-É.F.L.;Vallée Denis P.L.Q./Q.L.P.;B.V.;B.R.;
329;Nicolet-Bécancour;2014-04-07;G;Parisville, p;1;;39;226;9;37;0;2;57;48;153;7;
329;Nicolet-Bécancour;2014-04-07;G;Fortierville, m;1;;40;252;5;40;5;1;77;39;167;6;
329;Nicolet-Bécancour;2014-04-07;G;Fortierville, m;1;;41;288;9;27;1;1;88;64;190;1;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Cécile-de-Lévrard, p;1;;42;272;4;38;2;1;84;35;164;7;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Sophie-de-Lévrard, p;1;;43;320;10;52;0;0;55;75;192;2;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Sophie-de-Lévrard, p;1;;44;273;3;33;0;3;81;54;174;2;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Françoise, m;1;;45;184;5;16;1;1;71;29;123;2;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Françoise, m;1;;46;194;6;19;0;2;47;42;116;3;
329;Nicolet-Bécancour;2014-04-07;G;Manseau, m;1;;47;217;4;39;3;1;53;29;129;4;
329;Nicolet-Bécancour;2014-04-07;G;Manseau, m;1;;48;223;4;38;0;0;42;23;107;4;
329;Nicolet-Bécancour;2014-04-07;G;Manseau, m;1;;49;234;5;43;0;3;53;31;135;2;
329;Nicolet-Bécancour;2014-04-07;G;Lemieux, m;1;;50;234;5;29;1;0;76;37;148;1;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Marie-de-Blandford, m;1;;51;188;9;33;0;1;49;41;133;4;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Marie-de-Blandford, m;1;;52;199;7;33;2;3;60;31;136;0;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Sylvère, m;1;;53;308;8;41;1;2;84;61;197;5;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Sylvère, m;1;;54;317;6;40;0;3;87;63;199;5;
329;Nicolet-Bécancour;2014-04-07;G;Maddington, ct;1;;55;354;11;29;1;1;98;51;191;3;
329;Nicolet-Bécancour;2014-04-07;G;Daveluyville, v;1;;56;218;3;25;1;0;54;25;108;3;
329;Nicolet-Bécancour;2014-04-07;G;Daveluyville, v;1;;57;266;7;24;2;0;56;40;129;3;
329;Nicolet-Bécancour;2014-04-07;G;Daveluyville, v;1;;58;247;6;27;0;2;59;36;130;4;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Anne-du-Sault, m;1;;59;362;7;37;0;8;106;57;215;5;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Anne-du-Sault, m;1;;60;353;4;40;1;5;75;50;175;7;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Anne-du-Sault, m;1;;61;349;8;43;1;0;95;40;187;5;
329;Nicolet-Bécancour;2014-04-07;G;Aston-Jonction, m;1;;62;278;9;32;4;3;73;56;177;3;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Eulalie, m;1;;63;250;9;35;2;2;82;35;165;9;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Eulalie, m;1;;64;240;8;52;3;1;62;32;158;2;
329;Nicolet-Bécancour;2014-04-07;G;Sainte-Eulalie, m;1;;65;244;8;36;0;1;94;25;164;6;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Wenceslas, m;1;;66;289;10;35;3;2;84;51;185;2;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Wenceslas, m;1;;67;283;10;32;3;3;90;35;173;2;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Wenceslas, m;1;;68;308;8;38;2;5;111;36;200;6;
