Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bissonnette Marc B.P.;Breton Daniel P.Q.;Klisko Anna P.L.Q./Q.L.P.;Lachapelle Serge P.M.L.Q.;Massé Manon Q.S.;Payne Nic O.N. - P.I.Q.;Thauvette Patrick C.A.Q.-É.F.L.;Wiseman Stewart P.V.Q./G.P.Q.;B.V.;B.R.;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;163;;40;382;1;56;57;0;60;0;18;2;194;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;163;;41;291;3;52;30;0;51;0;20;1;157;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;163;;42;304;2;52;33;1;18;1;18;2;127;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;163;;43;315;2;48;43;0;36;2;23;2;156;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;163;;44;303;0;48;27;0;43;1;14;1;134;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;163;;45;330;2;35;34;0;59;3;13;1;147;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;46;325;2;49;46;0;59;2;8;3;169;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;47;310;0;39;36;0;57;3;15;1;151;6;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;48;284;1;33;40;1;39;0;10;1;125;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;49;310;1;48;30;2;66;0;12;1;160;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;50;383;0;37;44;1;34;0;9;7;132;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;51;282;1;21;37;3;61;0;9;4;136;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;52;296;2;35;35;0;72;2;7;3;156;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;164;;53;298;0;34;32;1;66;0;13;2;148;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;54;273;0;36;28;0;38;0;9;3;114;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;55;277;0;57;25;0;60;0;16;1;159;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;56;277;1;49;41;0;49;0;9;2;151;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;57;340;0;36;50;1;74;2;9;2;174;6;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;58;361;0;27;23;0;30;1;11;2;94;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;59;364;1;41;24;0;98;2;20;1;187;4;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;165;;60;264;1;40;16;0;71;2;15;0;145;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;166;;61;262;0;40;25;0;34;0;17;3;119;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;166;;62;264;1;50;37;0;33;0;8;2;131;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;166;;63;272;1;26;30;0;40;1;7;5;110;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;166;;64;235;2;20;29;0;47;1;11;3;113;5;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;65;302;0;36;32;0;62;2;16;2;150;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;66;299;2;29;64;0;20;3;10;3;131;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;67;292;1;47;36;0;62;1;21;3;171;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;68;314;0;42;35;0;67;0;20;3;167;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;69;311;0;56;45;0;55;1;8;3;168;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;167;;70;291;0;51;36;0;74;1;8;3;173;5;
