Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gélineau Jacques Q.S.;Méthot Laurence P.L.Q./Q.L.P.;Pinard Christine C.A.Q.-É.F.L.;Richard Lorraine P.Q.;Rivard Yan O.N. - P.I.Q.;B.V.;B.R.;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;63;285;9;62;20;53;3;147;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;64;279;16;44;73;18;2;153;6;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;65;289;11;51;22;61;3;148;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;66;303;4;37;23;46;3;113;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;67;307;3;42;18;46;4;113;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;68;287;6;28;17;50;7;108;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;5;;69;294;9;50;20;48;7;134;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;70;287;10;51;15;61;4;141;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;71;279;5;45;20;48;2;120;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;72;273;13;24;16;43;6;102;6;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;73;337;8;39;18;44;4;113;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;74;286;14;33;15;48;1;111;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;75;241;7;36;14;53;4;114;6;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;76;273;5;50;15;54;10;134;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;6;;77;271;12;40;22;58;3;135;10;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;78;365;3;42;17;40;6;108;10;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;79;353;6;47;18;35;6;112;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;80;230;7;35;13;44;2;101;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;81;294;7;55;28;64;5;159;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;82;308;4;48;7;41;5;105;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;83;229;5;53;13;55;1;127;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;84;193;9;15;11;34;1;70;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;85;217;8;25;19;35;5;92;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;86;256;8;35;19;52;1;115;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;87;267;19;33;9;47;2;110;6;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;88;246;7;34;23;67;2;133;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;89;391;11;30;22;45;2;110;9;
745;Duplessis;2014-04-07;G;Sept-Îles, v;7;;90;241;7;28;14;29;7;85;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;8;;91;278;6;34;23;48;7;118;6;
745;Duplessis;2014-04-07;G;Sept-Îles, v;8;;92;270;6;49;16;60;4;135;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;8;;93;329;17;54;15;59;8;153;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;8;;94;305;10;33;15;60;3;121;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;8;;95;319;24;59;19;70;3;175;8;
