Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Colangelo Lauzon Mikey É.A.P. - P.C.Q.;Corriveau Robert P.L.Q./Q.L.P.;Hivon Véronique P.Q.;Larouche Denise C.A.Q.-É.F.L.;Legault Sylvain O.N. - P.I.Q.;Trudel Flavie Q.S.;B.V.;B.R.;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;51;357;0;30;97;40;1;16;184;1;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;52;336;0;22;77;59;1;18;177;2;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;53;341;2;24;68;48;1;10;153;7;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;54;334;1;30;65;50;2;12;160;4;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;55A;220;0;14;50;29;1;10;104;3;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;55B;229;0;25;48;47;1;6;127;3;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;56;371;0;16;66;63;2;9;156;4;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;2;;57;335;1;35;52;53;2;5;148;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;;58;375;2;22;86;52;1;22;185;5;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;;59;357;1;25;59;50;2;9;146;12;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;;60;577;1;23;72;46;2;22;166;5;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;Regr. BVO-60;61;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;;62;331;0;31;51;53;2;7;144;3;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;Regr. BVO-64;63;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;;64;492;1;34;68;53;4;13;173;1;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;3;;65;268;0;31;44;28;3;15;121;5;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;;66;347;0;25;74;26;2;11;138;4;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;Regr. BVO-68;67;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;;68;696;0;30;73;43;4;11;161;4;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;;69;453;0;25;62;36;2;22;147;5;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;Regr. BVO-68;70;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;Regr. BVO-68;71;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;;72;614;1;32;37;30;1;4;105;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;Regr. BVO-69;73;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;Regr. BVO-72;74;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;4;Regr. BVO-72;75;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Pierre, vl;1;;76;231;2;26;43;54;2;12;139;2;
361;Joliette;2014-04-07;G;Joliette, v;1;;77;351;0;35;79;51;0;16;181;3;
361;Joliette;2014-04-07;G;Joliette, v;1;;78;321;0;28;54;29;0;9;120;0;
361;Joliette;2014-04-07;G;Joliette, v;1;;79;312;1;26;59;26;1;8;121;1;
361;Joliette;2014-04-07;G;Joliette, v;1;;80;313;2;24;50;45;1;8;130;4;
361;Joliette;2014-04-07;G;Joliette, v;1;;81;323;2;9;44;25;1;7;88;1;
361;Joliette;2014-04-07;G;Joliette, v;1;;82;322;1;17;64;39;0;9;130;4;
361;Joliette;2014-04-07;G;Joliette, v;1;;83;337;0;37;49;36;1;10;133;6;
361;Joliette;2014-04-07;G;Joliette, v;1;;84;318;0;32;64;32;1;11;140;2;
361;Joliette;2014-04-07;G;Joliette, v;1;;85;321;0;42;63;50;3;18;176;4;
