Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Huard Olivier Q.S.;Lacombe Pierre É.A.P. - P.C.Q.;Lavallée Lise C.A.Q.-É.F.L.;McKay Scott P.Q.;Nantel Robert P.L.Q./Q.L.P.;Strasbourg Christian O.N. - P.I.Q.;B.V.;B.R.;
367;Repentigny;2014-04-07;G;Repentigny, v;9;Regr. BVO-51;52;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;10;;53;307;11;1;71;61;31;0;175;3;
367;Repentigny;2014-04-07;G;Repentigny, v;10;;54;321;13;1;101;53;44;0;212;4;
367;Repentigny;2014-04-07;G;Repentigny, v;10;;55;310;9;0;88;69;47;0;213;6;
367;Repentigny;2014-04-07;G;Repentigny, v;10;;56;299;7;0;97;49;49;1;203;1;
367;Repentigny;2014-04-07;G;Repentigny, v;10;;57;297;10;0;66;82;41;1;200;5;
367;Repentigny;2014-04-07;G;Repentigny, v;10;;58;332;15;0;88;62;52;0;217;0;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;59;285;5;2;71;39;25;0;142;4;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;60;273;17;0;46;52;33;2;150;1;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;61;265;7;0;36;35;21;3;102;1;
367;Repentigny;2014-04-07;G;Repentigny, v;11;Regr. BVO-61;62;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;63;260;14;0;66;46;16;2;144;2;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;64;293;12;0;50;63;40;0;165;1;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;65;301;21;2;53;60;40;4;180;0;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;66;289;8;0;55;54;24;5;146;4;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;67;287;11;1;32;43;18;0;105;2;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;68;265;11;2;45;40;14;0;112;6;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;69;284;4;1;40;50;20;1;116;7;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;70;265;7;1;40;54;22;0;124;5;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;71;307;17;1;51;58;25;1;153;2;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;72;316;13;2;42;55;19;1;132;9;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;73;283;5;2;52;54;23;1;137;0;
367;Repentigny;2014-04-07;G;Repentigny, v;11;;74;282;9;0;50;50;19;0;128;1;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;75;279;16;0;53;58;32;2;161;0;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;76;285;5;0;67;43;43;1;159;3;
367;Repentigny;2014-04-07;G;Repentigny, v;12;Regr. BVO-78;77;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;78;585;10;0;71;63;30;0;174;6;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;79;279;19;0;48;42;20;2;131;3;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;80;259;2;0;37;37;12;2;90;3;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;81;287;12;0;73;60;32;1;178;5;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;82;273;14;1;52;53;31;2;153;0;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;83;273;10;0;69;46;31;0;156;0;
367;Repentigny;2014-04-07;G;Repentigny, v;12;;84;280;7;1;65;81;23;0;177;6;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;85;263;16;1;52;72;37;0;178;5;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;86;275;9;4;57;96;29;3;198;10;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;87;275;11;0;55;65;34;2;167;0;
367;Repentigny;2014-04-07;G;Repentigny, v;13;Regr. BVO-89;88;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;89;329;9;1;73;55;40;0;178;5;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;90;276;12;0;49;43;46;2;152;3;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;91;343;4;1;102;47;77;2;233;1;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;92;276;18;0;72;56;13;0;159;5;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;93;268;5;2;59;60;39;0;165;3;
367;Repentigny;2014-04-07;G;Repentigny, v;13;;94;274;9;0;44;61;34;2;150;0;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;95;273;9;1;61;61;36;1;169;2;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;96;371;9;0;69;58;31;1;168;3;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;97;269;13;1;64;54;30;0;162;2;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;98;260;14;0;74;62;19;1;170;2;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;99;289;7;0;51;39;24;5;126;4;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;100;260;12;3;50;49;17;1;132;3;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;101;288;21;2;77;57;24;1;182;0;
367;Repentigny;2014-04-07;G;Repentigny, v;14;;102;307;12;2;60;54;34;5;167;3;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;103;298;19;1;68;65;34;3;190;2;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;104;316;8;1;53;50;49;2;163;2;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;105;282;13;0;66;68;34;1;182;4;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;106;293;6;0;66;68;34;6;180;3;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;107;313;13;1;85;57;34;0;190;2;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;108;281;11;0;64;71;29;3;178;4;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;109;301;11;0;88;73;34;2;208;5;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;110;306;13;2;81;59;40;0;195;4;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;111A;290;7;0;47;49;27;1;131;4;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;111B;132;1;0;44;24;9;0;78;3;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;112;311;7;3;98;50;36;1;195;7;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;113;299;12;0;69;41;39;0;161;0;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;114;334;10;3;81;70;32;0;196;1;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;115A;254;9;0;51;57;28;1;146;0;
367;Repentigny;2014-04-07;G;Repentigny, v;15;;115B;193;4;0;49;24;33;0;110;3;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;116A;170;7;0;40;35;21;0;103;0;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;116B;265;14;0;81;41;24;1;161;3;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;117;291;6;1;95;53;35;0;190;0;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;118A;263;5;0;89;48;38;2;182;3;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;118B;266;6;0;67;43;22;2;140;4;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;119;284;16;1;52;56;21;0;146;6;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;120;311;17;2;71;58;29;0;177;4;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;121;284;6;1;58;79;24;1;169;0;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;122;301;19;1;60;58;30;1;169;3;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;123;326;11;0;70;67;51;1;200;3;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;124;334;20;0;91;64;32;0;207;1;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;125;304;15;1;68;63;31;1;179;7;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;126;306;13;2;80;46;41;3;185;5;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;127;296;16;0;69;75;30;3;193;4;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;128;303;12;0;72;64;36;0;184;4;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;129;286;12;4;67;82;32;0;197;3;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;130;277;15;0;40;53;24;3;135;2;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;131;309;10;4;72;65;30;5;186;2;
367;Repentigny;2014-04-07;G;Repentigny, v;16;;132;305;15;0;62;73;26;1;177;1;
367;Repentigny;2014-04-07;G;Repentigny, v;17;;133;293;11;1;60;53;36;2;163;2;
