Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arpin Louise P.L.Q./Q.L.P.;Labbé Simon É.A.P. - P.C.Q.;Pelland Danielle Q.S.;Pelletier Émilien P.Q.;Pothier Éric O.N. - P.I.Q.;Soucy Chantal C.A.Q.-É.F.L.;B.V.;B.R.;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;78;340;59;1;8;73;2;59;202;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;79;398;71;3;10;42;0;55;181;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;80;376;70;4;13;60;3;94;244;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;81;378;70;1;20;63;4;79;237;0;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;82A;272;34;0;11;53;2;65;165;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;82B;168;26;0;5;29;1;36;97;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;83;365;62;1;11;66;1;91;232;13;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;84;364;54;2;16;63;2;80;217;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;85;356;58;0;15;47;2;94;216;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;86;376;59;1;15;75;4;97;251;11;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;87;366;76;4;14;59;3;75;231;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;88;363;54;1;19;74;0;91;239;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;89;356;38;5;21;46;3;64;177;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;90;395;47;6;29;53;3;84;222;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;91;410;50;0;13;53;2;106;224;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;12;;92;370;27;1;13;59;2;73;175;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;93;351;29;2;11;59;2;88;191;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;94;394;57;1;20;67;1;58;204;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;95;362;49;1;14;58;5;68;195;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;96;355;41;1;15;56;6;60;179;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;97;325;43;2;7;63;0;57;172;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;98;369;57;2;18;60;3;76;216;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;13;;99;568;63;1;18;77;3;58;220;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;14;;100;413;65;2;27;75;2;93;264;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;14;;101;399;72;2;10;73;1;89;247;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;14;;102;405;67;4;20;95;0;96;282;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;14;;103;403;51;1;25;98;2;105;282;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;14;;104;421;73;0;8;93;1;118;293;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;105;343;53;2;10;51;0;89;205;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;106;360;54;0;16;55;1;86;212;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;107;382;52;1;11;62;4;87;217;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;108;356;48;0;14;72;0;83;217;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;109;378;65;0;11;41;0;90;207;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;110;359;40;0;18;54;4;83;199;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;111;353;53;0;8;42;2;88;193;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;112;373;66;3;16;44;3;71;203;12;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;113;362;43;5;8;37;1;97;191;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;114;345;35;3;22;66;1;81;208;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;115;395;52;1;10;72;2;94;231;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;116;342;41;0;14;52;0;76;183;9;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;15;;117;358;45;2;12;57;1;89;206;5;
