Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Glia Meriem P.L.Q./Q.L.P.;Jacob Jean-François O.N. - P.I.Q.;Jarry Jean-François C.A.Q.-É.F.L.;Smith Yan Q.S.;Traversy Mathieu P.Q.;B.V.;B.R.;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;89;335;40;2;75;18;88;223;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;90;343;61;1;78;19;55;214;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;91;331;39;1;73;17;66;196;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;92;323;32;2;61;18;72;185;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;93;327;34;4;67;9;70;184;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;94;337;44;1;68;18;86;217;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;95;330;41;7;58;19;73;198;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;96;292;33;1;60;16;53;163;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;97;318;27;0;59;19;50;155;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;98;317;39;0;45;16;63;163;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;99;324;35;1;81;13;59;189;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;100;317;37;2;55;12;67;173;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;101;318;14;4;48;6;72;144;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;102;331;26;1;54;8;55;144;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;103;296;25;4;58;13;65;165;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;13;;104;320;25;5;51;11;58;150;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;105;333;25;0;46;21;50;142;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;106;342;35;3;75;9;80;202;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;107;313;32;2;51;8;57;150;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;108;328;25;1;55;12;56;149;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;109;324;21;1;59;14;66;161;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;110;311;28;0;56;12;69;165;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;111;347;21;0;54;15;71;161;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;112;336;37;1;71;11;63;183;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;14;;113;317;21;3;61;14;60;159;10;
