Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Hugues C.A.Q.-É.F.L.;Bolduc Yves P.L.Q./Q.L.P.;Couillard Maxime P.N.;Gueppe Eveline Q.S.;Laberge Clément P.Q.;Lavallée Alexandre O.N. - P.I.Q.;Pouleur Stéphane É.A.;Roy Verville Monique É.A.P. - P.C.Q.;B.V.;B.R.;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;48;358;42;51;4;18;45;6;1;0;167;4;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;49;356;34;59;2;14;28;3;0;1;141;1;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;50;522;37;84;2;9;32;0;1;1;166;1;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;51;370;45;64;5;26;51;2;1;1;195;4;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;52;347;45;67;1;26;36;4;1;1;181;0;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;53;341;50;57;1;15;33;5;1;2;164;3;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;54;370;50;101;5;12;43;1;1;1;214;2;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;55;385;43;79;1;38;59;4;0;2;226;5;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;56;342;29;80;0;19;43;4;1;3;179;0;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;57;387;56;98;3;15;54;0;0;1;227;1;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;58;387;52;102;0;17;48;2;0;1;222;1;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;59;354;32;117;0;5;35;0;0;0;189;4;
643;Jean-Talon;2014-04-07;G;Québec, v;26;;60;378;35;103;2;4;39;3;0;0;186;0;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;61;322;25;61;2;19;25;0;0;1;133;1;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;62;296;33;61;1;7;26;4;0;0;132;0;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;63;318;42;47;1;4;31;4;1;1;131;3;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;64;304;46;43;1;21;39;2;1;1;154;5;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;65;406;40;92;6;20;40;2;0;0;200;4;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;66;334;45;61;2;8;33;0;0;4;153;0;
643;Jean-Talon;2014-04-07;G;Québec, v;27;;67;519;40;52;2;13;29;1;1;0;138;6;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;68;405;41;83;5;14;35;3;0;0;181;0;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;69;389;41;91;4;21;33;3;0;2;195;3;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;70;380;48;86;1;19;42;7;0;0;203;3;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;71;399;56;63;4;27;30;5;1;3;189;5;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;72;387;41;42;3;14;22;2;0;0;124;2;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;73;384;42;70;2;27;39;2;0;2;184;2;
643;Jean-Talon;2014-04-07;G;Québec, v;28;;74;394;57;86;0;19;67;3;0;3;235;1;
643;Jean-Talon;2014-04-07;G;Québec, v;29;;75;343;62;101;0;21;31;3;0;0;218;1;
643;Jean-Talon;2014-04-07;G;Québec, v;29;;76;347;56;84;1;14;50;3;1;0;209;0;
643;Jean-Talon;2014-04-07;G;Québec, v;29;;77;361;47;97;0;19;44;4;0;1;212;1;
643;Jean-Talon;2014-04-07;G;Québec, v;29;;78;373;59;54;1;32;71;4;0;1;222;5;
643;Jean-Talon;2014-04-07;G;Québec, v;29;;79;359;45;81;0;17;52;5;1;1;202;4;
643;Jean-Talon;2014-04-07;G;Québec, v;29;;80;343;44;80;3;18;45;3;1;2;196;0;
643;Jean-Talon;2014-04-07;G;Québec, v;30;;81;332;44;74;1;11;40;2;1;3;176;1;
643;Jean-Talon;2014-04-07;G;Québec, v;30;;82;338;46;77;2;24;42;6;0;0;197;4;
643;Jean-Talon;2014-04-07;G;Québec, v;30;;83;330;56;74;4;24;33;1;2;0;194;2;
643;Jean-Talon;2014-04-07;G;Québec, v;30;;84;317;45;72;2;23;44;3;0;3;192;4;
643;Jean-Talon;2014-04-07;G;Québec, v;30;;85;318;47;96;2;15;51;3;0;2;216;0;
643;Jean-Talon;2014-04-07;G;Québec, v;31;;86;369;35;67;0;14;39;1;0;1;157;2;
643;Jean-Talon;2014-04-07;G;Québec, v;31;;87;359;45;72;4;20;47;0;1;0;189;5;
643;Jean-Talon;2014-04-07;G;Québec, v;31;;88;345;55;82;1;18;40;2;0;3;201;2;
643;Jean-Talon;2014-04-07;G;Québec, v;31;;89;355;33;78;2;11;42;1;0;0;167;2;
643;Jean-Talon;2014-04-07;G;Québec, v;31;;90;363;29;53;1;29;47;5;0;0;164;7;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;91;377;52;84;2;19;46;0;0;1;204;1;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;92;372;51;96;1;12;44;11;0;0;215;1;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;93;688;53;108;2;25;23;2;0;0;213;0;
643;Jean-Talon;2014-04-07;G;Québec, v;32;;94;367;39;135;0;12;31;1;0;2;220;1;
