Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duchesne Pierre P.Q.;Falardeau Jean Q.S.;Gour Gilbert É.A.P. - P.C.Q.;Jolin-Barrette Simon C.A.Q.-É.F.L.;Lepage Michel P.I.;Murray Jean P.L.Q./Q.L.P.;Siouï Marc-Olivier O.N. - P.I.Q.;B.V.;B.R.;
243;Borduas;2014-04-07;G;Sainte-Marie-Madeleine, p;1;;133;361;60;13;3;90;2;43;0;211;7;
243;Borduas;2014-04-07;G;Sainte-Marie-Madeleine, p;1;;134;352;73;17;1;101;0;25;1;218;7;
243;Borduas;2014-04-07;G;Sainte-Marie-Madeleine, p;1;;135;369;64;25;1;95;0;28;1;214;5;
243;Borduas;2014-04-07;G;Saint-Charles-sur-Richelieu, m;1;;136;359;77;17;1;79;1;42;0;217;7;
243;Borduas;2014-04-07;G;Saint-Charles-sur-Richelieu, m;1;;137;351;70;19;1;57;0;48;2;197;3;
243;Borduas;2014-04-07;G;Saint-Charles-sur-Richelieu, m;1;;138;347;82;21;2;63;3;65;0;236;9;
243;Borduas;2014-04-07;G;Saint-Charles-sur-Richelieu, m;1;;139;360;97;26;0;82;1;61;1;268;4;
243;Borduas;2014-04-07;G;Saint-Marc-sur-Richelieu, m;1;;140;332;64;14;0;78;0;54;0;210;4;
243;Borduas;2014-04-07;G;Saint-Marc-sur-Richelieu, m;1;;141;331;64;17;1;74;0;63;2;221;6;
243;Borduas;2014-04-07;G;Saint-Marc-sur-Richelieu, m;1;;142;335;89;17;1;97;1;34;3;242;5;
243;Borduas;2014-04-07;G;Saint-Marc-sur-Richelieu, m;1;;143;344;81;20;0;67;2;49;2;221;2;
243;Borduas;2014-04-07;G;Saint-Marc-sur-Richelieu, m;1;;144;340;94;14;2;69;0;56;1;236;5;
243;Borduas;2014-04-07;G;Saint-Antoine-sur-Richelieu, m;1;;145;340;77;13;0;69;0;44;1;204;8;
243;Borduas;2014-04-07;G;Saint-Antoine-sur-Richelieu, m;1;;146;346;83;29;0;76;0;39;0;227;2;
243;Borduas;2014-04-07;G;Saint-Antoine-sur-Richelieu, m;1;;147;339;100;30;3;75;2;37;0;247;2;
243;Borduas;2014-04-07;G;Saint-Antoine-sur-Richelieu, m;1;;148;335;87;9;0;90;0;29;0;215;5;
