Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amour Jean P.L.Q./Q.L.P.;Gagnon Louis Q.S.;Lagacé Michel P.Q.;Malenfant Frank P.S.P.;Massé Étienne O.N. - P.I.Q.;Roy Charles C.A.Q.-É.F.L.;B.V.;B.R.;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Modeste, m;1;;58;270;51;9;35;5;1;54;155;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Modeste, m;1;;59;286;77;16;33;4;2;44;176;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Modeste, m;1;;60;273;99;15;24;4;0;31;173;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-François-Xavier-de-Viger, m;1;;61;182;66;2;11;0;0;20;99;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Épiphane, m;1;;62;338;122;10;31;1;1;34;199;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Épiphane, m;1;;63;318;96;14;34;5;1;35;185;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Arsène, p;1;;64;302;114;9;36;2;5;31;197;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Arsène, p;1;;65;301;101;6;39;4;1;42;193;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Arsène, p;1;;66;304;124;10;36;1;0;37;208;7;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Cacouna, m;1;;67;376;116;21;49;4;1;44;235;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Cacouna, m;1;;68;342;81;15;65;0;1;46;208;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Cacouna, m;1;;69;378;118;22;31;2;2;54;229;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Cacouna, m;1;;70;395;106;21;63;2;1;55;248;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Notre-Dame-des-Sept-Douleurs, p;1;Regr. BVO-72;71;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;L'Isle-Verte, m;1;;72;397;135;14;57;4;3;45;258;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;L'Isle-Verte, m;1;;73;383;117;14;47;5;1;45;229;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;L'Isle-Verte, m;1;Regr. BVDS-1;74;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;L'Isle-Verte, m;1;;75;370;123;11;62;1;1;30;228;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Paul-de-la-Croix, p;1;;76;274;140;7;34;1;1;38;221;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Clément, p;1;;77;371;144;23;69;5;0;32;273;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Sainte-Rita, m;1;;78;258;88;18;31;0;1;16;154;7;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Jean-de-Dieu, m;1;;79;314;104;4;33;0;0;25;166;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Jean-de-Dieu, m;1;;80;339;71;9;31;0;1;28;140;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Jean-de-Dieu, m;1;;81;289;61;3;32;1;0;29;126;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Jean-de-Dieu, m;1;;82;313;76;13;43;4;2;39;177;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Éloi, p;1;;83;270;102;4;45;1;1;32;185;0;
