Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benhabib Djemila P.Q.;Charbonneau Francine P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Loranger Sylvain C.A.Q.-É.F.L.;Mirabella David É.A.P. - P.C.Q.;Paradis Anik Q.S.;Rieussec Maël O.N. - P.I.Q.;B.V.;B.R.;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;22;372;38;146;1;36;0;10;1;232;5;
451;Mille-Îles;2014-04-07;G;Laval, v;79;;23;374;53;120;3;58;0;16;0;250;4;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;24;363;83;87;3;50;0;21;0;244;6;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;25;375;65;124;3;53;1;17;1;264;1;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;26;363;65;113;7;52;2;7;0;246;7;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;27;369;69;87;5;45;1;23;0;230;6;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;28;370;74;68;5;45;0;22;2;216;3;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;29;373;44;72;4;45;0;18;0;183;1;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;30;363;50;64;4;44;1;7;1;171;6;
451;Mille-Îles;2014-04-07;G;Laval, v;80;;31;378;61;78;3;42;2;16;1;203;3;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;32;389;40;140;2;39;0;10;1;232;2;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;33;376;39;153;2;36;2;13;0;245;0;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;34;386;40;128;2;38;0;12;1;221;2;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;35;381;37;121;3;38;2;8;0;209;1;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;36;379;42;142;5;23;1;13;1;227;1;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;37;385;43;135;6;39;1;2;0;226;1;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;38;390;45;129;2;33;0;13;2;224;2;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;39;388;39;118;1;25;0;8;0;191;0;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;40;531;41;108;0;42;0;13;0;204;1;
451;Mille-Îles;2014-04-07;G;Laval, v;81;;41;381;20;159;0;44;0;6;0;229;3;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;42A;272;9;123;3;24;2;2;0;163;3;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;42B;211;19;64;0;21;0;5;0;109;0;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;43;377;13;169;1;23;1;3;1;211;4;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;44;388;0;231;1;7;1;0;0;240;1;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;45;380;8;217;2;13;1;0;0;241;0;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;46;393;11;226;0;15;0;1;0;253;7;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;47;387;8;194;0;8;1;1;0;212;1;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;48;378;8;194;1;22;1;3;0;229;0;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;49;376;12;195;5;21;2;1;0;236;2;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;50;394;10;182;0;30;0;7;1;230;0;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;51;387;17;183;1;19;0;7;0;227;2;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;52;376;7;204;2;10;0;2;0;225;1;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;53;358;62;40;1;65;3;10;0;181;3;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;54;376;93;50;6;57;0;4;0;210;6;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;55;379;66;46;0;52;2;11;1;178;4;
451;Mille-Îles;2014-04-07;G;Laval, v;82;;56;378;43;89;2;37;2;7;1;181;0;
451;Mille-Îles;2014-04-07;G;Laval, v;83;;57;403;85;60;3;57;1;12;1;219;5;
451;Mille-Îles;2014-04-07;G;Laval, v;83;;58;415;100;66;4;36;0;20;3;229;4;
451;Mille-Îles;2014-04-07;G;Laval, v;83;;59;411;67;58;3;58;1;9;2;198;5;
451;Mille-Îles;2014-04-07;G;Laval, v;83;;60;496;95;46;0;60;0;21;2;224;2;
451;Mille-Îles;2014-04-07;G;Laval, v;83;;61;420;63;101;8;52;0;21;0;245;2;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;62;422;61;74;1;50;1;16;1;204;6;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;63;346;60;94;1;48;0;7;1;211;4;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;64;356;65;64;4;51;0;15;0;199;1;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;65;345;63;133;0;56;0;5;1;258;3;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;66;368;60;79;2;40;1;9;0;191;2;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;67;357;61;77;1;54;0;12;0;205;1;
451;Mille-Îles;2014-04-07;G;Laval, v;84;;68;352;42;117;6;49;1;7;0;222;1;
451;Mille-Îles;2014-04-07;G;Laval, v;85;;69;376;64;59;2;55;3;12;2;197;2;
451;Mille-Îles;2014-04-07;G;Laval, v;85;;70;371;75;64;1;56;1;12;0;209;5;
451;Mille-Îles;2014-04-07;G;Laval, v;85;;71;357;51;76;2;51;0;10;0;190;6;
451;Mille-Îles;2014-04-07;G;Laval, v;85;;72;374;25;173;0;24;1;7;1;231;4;
