Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Babin Matthew B.P.;Chénier Stéphane P.M.L.Q.;Dubois Carl C.A.Q.-É.F.L.;Labelle Sophie-Geneviève O.N. - P.I.Q.;Lisée Jean-François P.Q.;Svetoushkina Ksenia P.V.Q./G.P.Q.;Trudelle Jean Q.S.;Valade Thiery P.L.Q./Q.L.P.;B.V.;B.R.;
379;Rosemont;2014-04-07;G;Montréal, v;315;;65;345;3;0;32;2;68;2;46;46;199;5;
379;Rosemont;2014-04-07;G;Montréal, v;315;;66;378;4;1;37;1;79;3;41;34;200;1;
379;Rosemont;2014-04-07;G;Montréal, v;316;;67;379;0;1;28;3;58;3;57;46;196;3;
379;Rosemont;2014-04-07;G;Montréal, v;316;;68;393;3;0;33;3;73;2;47;66;227;1;
379;Rosemont;2014-04-07;G;Montréal, v;316;;69;554;1;0;26;2;92;1;53;63;238;2;
379;Rosemont;2014-04-07;G;Montréal, v;316;;70A;251;0;1;4;1;16;0;7;34;63;0;
379;Rosemont;2014-04-07;G;Montréal, v;316;;70B;185;2;0;10;2;17;1;14;24;70;1;
379;Rosemont;2014-04-07;G;Montréal, v;316;;71;539;2;0;12;3;62;4;35;85;203;1;
379;Rosemont;2014-04-07;G;Montréal, v;316;;72;463;1;0;25;1;63;4;50;54;198;5;
379;Rosemont;2014-04-07;G;Montréal, v;316;;73A;223;1;0;17;0;22;2;22;49;113;1;
379;Rosemont;2014-04-07;G;Montréal, v;316;;73B;206;1;0;13;3;30;2;23;21;93;1;
379;Rosemont;2014-04-07;G;Montréal, v;317;;74;378;0;0;21;1;63;3;56;51;195;5;
379;Rosemont;2014-04-07;G;Montréal, v;317;;75;393;2;0;34;3;65;2;33;70;209;2;
379;Rosemont;2014-04-07;G;Montréal, v;317;;76;378;1;0;21;4;47;0;17;90;180;1;
379;Rosemont;2014-04-07;G;Montréal, v;317;;77;391;1;0;28;1;48;1;22;94;195;4;
379;Rosemont;2014-04-07;G;Montréal, v;317;;78A;275;0;0;33;2;39;4;17;45;140;0;
379;Rosemont;2014-04-07;G;Montréal, v;317;;78B;215;0;0;10;0;8;0;9;25;52;0;
379;Rosemont;2014-04-07;G;Montréal, v;317;;79;359;5;2;30;2;50;3;37;52;181;2;
379;Rosemont;2014-04-07;G;Montréal, v;317;;80;351;1;0;26;0;49;0;40;56;172;4;
379;Rosemont;2014-04-07;G;Montréal, v;317;;81;348;1;0;40;3;75;2;46;37;204;5;
379;Rosemont;2014-04-07;G;Montréal, v;318;;82;409;1;0;26;5;91;4;44;65;236;2;
379;Rosemont;2014-04-07;G;Montréal, v;318;;83;386;1;0;23;2;90;2;65;61;244;1;
379;Rosemont;2014-04-07;G;Montréal, v;318;;84;404;2;0;36;2;71;3;55;84;253;4;
379;Rosemont;2014-04-07;G;Montréal, v;318;;85;385;2;0;40;2;80;6;33;57;220;3;
379;Rosemont;2014-04-07;G;Montréal, v;318;;86;399;2;1;17;1;41;1;18;83;164;5;
379;Rosemont;2014-04-07;G;Montréal, v;319;;87;382;4;1;28;0;61;0;29;69;192;2;
379;Rosemont;2014-04-07;G;Montréal, v;319;;88;392;1;0;23;1;53;4;22;72;176;4;
379;Rosemont;2014-04-07;G;Montréal, v;319;;89;380;3;0;23;3;53;4;26;64;176;2;
379;Rosemont;2014-04-07;G;Montréal, v;319;;90;406;0;0;34;2;68;0;22;83;209;3;
379;Rosemont;2014-04-07;G;Montréal, v;319;;91A;197;1;0;15;0;28;1;19;44;108;1;
379;Rosemont;2014-04-07;G;Montréal, v;319;;91B;230;1;0;15;0;38;3;22;33;112;0;
379;Rosemont;2014-04-07;G;Montréal, v;320;;92;370;0;0;25;3;87;3;35;53;206;7;
379;Rosemont;2014-04-07;G;Montréal, v;320;;93;402;3;0;31;2;57;1;35;59;188;3;
379;Rosemont;2014-04-07;G;Montréal, v;320;;94;408;2;0;30;1;76;1;38;73;221;2;
379;Rosemont;2014-04-07;G;Montréal, v;320;;95;394;1;2;36;0;84;0;62;51;236;5;
379;Rosemont;2014-04-07;G;Montréal, v;320;;96;401;2;1;50;2;81;6;20;55;217;5;
379;Rosemont;2014-04-07;G;Montréal, v;320;;97;417;1;3;37;0;80;1;56;68;246;7;
379;Rosemont;2014-04-07;G;Montréal, v;320;;98;354;4;1;23;1;44;5;33;67;178;1;
379;Rosemont;2014-04-07;G;Montréal, v;320;;99;378;1;0;24;1;66;2;30;61;185;8;
379;Rosemont;2014-04-07;G;Montréal, v;321;;100;381;1;0;26;2;91;3;49;60;232;8;
379;Rosemont;2014-04-07;G;Montréal, v;321;;101;376;0;0;26;3;83;3;30;56;201;3;
379;Rosemont;2014-04-07;G;Montréal, v;321;;102;395;1;1;28;3;67;3;26;75;204;7;
379;Rosemont;2014-04-07;G;Montréal, v;321;;103;398;1;1;26;1;62;3;24;91;209;2;
379;Rosemont;2014-04-07;G;Montréal, v;321;;104;382;0;0;44;2;63;2;31;78;220;5;
379;Rosemont;2014-04-07;G;Montréal, v;322;;105;371;1;0;36;0;60;4;32;93;226;2;
379;Rosemont;2014-04-07;G;Montréal, v;322;;106;426;2;0;27;2;46;2;15;90;184;2;
379;Rosemont;2014-04-07;G;Montréal, v;322;;107;354;1;0;44;0;54;2;16;73;190;2;
379;Rosemont;2014-04-07;G;Montréal, v;322;;108;359;3;0;29;2;50;4;32;75;195;2;
379;Rosemont;2014-04-07;G;Montréal, v;322;;109;340;5;1;32;1;55;2;27;66;189;1;
379;Rosemont;2014-04-07;G;Montréal, v;322;;110;353;0;0;42;0;44;4;16;101;207;3;
379;Rosemont;2014-04-07;G;Montréal, v;322;;111;338;1;0;17;0;37;2;14;101;172;0;
379;Rosemont;2014-04-07;G;Montréal, v;322;;112;357;0;0;19;1;52;1;23;108;204;2;
379;Rosemont;2014-04-07;G;Montréal, v;323;;113;376;1;0;23;0;44;0;18;79;165;2;
379;Rosemont;2014-04-07;G;Montréal, v;323;;114;683;1;0;32;3;59;4;18;55;172;3;
379;Rosemont;2014-04-07;G;Montréal, v;323;;115;501;2;0;9;0;17;2;5;165;200;2;
379;Rosemont;2014-04-07;G;Montréal, v;324;;116;393;1;0;36;2;55;0;30;119;243;4;
379;Rosemont;2014-04-07;G;Montréal, v;324;;117;389;1;0;45;3;61;0;29;88;227;5;
379;Rosemont;2014-04-07;G;Montréal, v;324;;118;371;0;0;37;2;78;2;6;40;165;5;
379;Rosemont;2014-04-07;G;Montréal, v;324;;119;394;2;1;33;2;68;7;15;92;220;4;
379;Rosemont;2014-04-07;G;Montréal, v;324;;120;359;0;0;29;0;68;5;29;64;195;7;
