Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belley Nicolas O.N. - P.I.Q.;Biron Paul P.U.N.;Bonnier Viger Yv Q.S.;Dubé Christian C.A.Q.-É.F.L.;Girard Sylvie P.Q.;Roy Sébastien É.A.P. - P.C.Q.;Turmel Simon P.L.Q./Q.L.P.;B.V.;B.R.;
663;Lévis;2014-04-07;G;Lévis, v;26;;99;399;3;3;17;83;34;2;57;199;2;
663;Lévis;2014-04-07;G;Lévis, v;26;;100;390;5;0;24;79;33;2;29;172;2;
663;Lévis;2014-04-07;G;Lévis, v;26;;101;409;3;0;24;99;36;1;33;196;5;
663;Lévis;2014-04-07;G;Lévis, v;26;;102;415;3;1;21;106;40;3;46;220;4;
663;Lévis;2014-04-07;G;Lévis, v;26;;103;399;0;1;30;89;26;2;50;198;6;
663;Lévis;2014-04-07;G;Lévis, v;26;;104;536;2;0;18;91;31;3;40;185;3;
663;Lévis;2014-04-07;G;Lévis, v;26;Regr. BVO-104;105;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;26;;106;414;2;7;12;79;28;2;46;176;5;
663;Lévis;2014-04-07;G;Lévis, v;27;;107;383;1;1;11;76;35;1;53;178;5;
663;Lévis;2014-04-07;G;Lévis, v;27;;108;395;1;1;8;95;31;4;65;205;7;
