Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Brabant Steve C.A.Q.-É.F.L.;Deblois Anne É.A.P. - P.C.Q.;Dorion Catherine O.N. - P.I.Q.;Drolet Sylvain P.S.P.;Duchesne Marie-Ève Q.S.;Maltais Agnès P.Q.;Savard Jean-Luc P.N.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
633;Taschereau;2014-04-07;G;Québec, v;45;;61;296;0;24;3;0;0;9;43;0;47;126;2;
633;Taschereau;2014-04-07;G;Québec, v;45;;62;260;0;18;0;2;0;5;27;0;55;107;0;
633;Taschereau;2014-04-07;G;Québec, v;45;;63;267;0;18;3;1;0;2;32;0;45;101;4;
633;Taschereau;2014-04-07;G;Québec, v;45;;64;308;0;20;1;4;0;3;45;0;50;123;2;
633;Taschereau;2014-04-07;G;Québec, v;45;;65;259;0;28;0;1;0;8;21;0;53;111;1;
633;Taschereau;2014-04-07;G;Québec, v;45;;66;275;0;12;0;3;0;9;26;0;52;102;0;
633;Taschereau;2014-04-07;G;Québec, v;45;;67;296;0;24;1;1;0;16;37;0;44;123;1;
633;Taschereau;2014-04-07;G;Québec, v;45;;68;261;0;31;0;4;0;6;42;0;34;117;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;69;278;0;22;0;6;0;32;60;1;42;163;3;
633;Taschereau;2014-04-07;G;Québec, v;46;;70;283;0;31;1;4;0;15;37;2;49;139;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;71;275;0;19;0;5;0;32;52;2;36;146;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;72;293;0;29;1;9;1;31;46;0;26;143;6;
633;Taschereau;2014-04-07;G;Québec, v;46;;73;290;0;24;1;3;0;17;59;0;38;142;0;
633;Taschereau;2014-04-07;G;Québec, v;46;;74;454;1;17;0;5;0;10;28;0;47;108;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;75A;278;1;22;0;5;0;18;31;1;40;118;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;75B;307;0;31;1;0;0;4;43;0;67;146;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;76;283;1;27;0;2;1;20;47;2;44;144;1;
633;Taschereau;2014-04-07;G;Québec, v;46;;77;299;0;18;2;5;1;35;47;1;34;143;6;
633;Taschereau;2014-04-07;G;Québec, v;47;;78;331;0;24;0;13;1;54;42;4;20;158;2;
633;Taschereau;2014-04-07;G;Québec, v;47;;79;339;1;17;1;10;0;50;57;3;24;163;0;
633;Taschereau;2014-04-07;G;Québec, v;47;;80;335;0;20;1;9;0;33;44;2;36;145;3;
633;Taschereau;2014-04-07;G;Québec, v;47;;81;387;0;16;2;11;0;20;47;2;33;131;2;
633;Taschereau;2014-04-07;G;Québec, v;47;;82;337;0;37;1;16;1;31;38;3;25;152;2;
633;Taschereau;2014-04-07;G;Québec, v;47;;83;320;0;29;0;10;0;34;52;2;35;162;1;
633;Taschereau;2014-04-07;G;Québec, v;47;;84;276;0;37;0;18;2;26;35;0;30;148;2;
633;Taschereau;2014-04-07;G;Québec, v;47;;85;287;0;34;1;5;0;18;57;2;36;153;3;
633;Taschereau;2014-04-07;G;Québec, v;47;;86;309;1;18;0;3;1;19;44;0;38;124;2;
633;Taschereau;2014-04-07;G;Québec, v;48;;87;301;0;21;0;9;0;37;72;2;16;157;3;
633;Taschereau;2014-04-07;G;Québec, v;48;;88;345;0;24;0;6;0;31;56;3;40;160;1;
633;Taschereau;2014-04-07;G;Québec, v;48;;89;307;0;12;1;4;1;26;51;5;21;121;0;
633;Taschereau;2014-04-07;G;Québec, v;48;;90;326;0;35;0;8;0;31;60;1;30;165;2;
633;Taschereau;2014-04-07;G;Québec, v;48;;91;431;0;19;0;9;0;47;50;2;24;151;3;
633;Taschereau;2014-04-07;G;Québec, v;48;;92;306;0;32;0;11;3;59;53;1;27;186;2;
633;Taschereau;2014-04-07;G;Québec, v;48;;93;331;0;24;0;13;0;52;54;3;23;169;3;
633;Taschereau;2014-04-07;G;Québec, v;48;;94;342;1;9;0;25;1;73;58;6;17;190;5;
633;Taschereau;2014-04-07;G;Québec, v;54;;95;330;0;37;0;11;0;61;56;3;33;201;4;
633;Taschereau;2014-04-07;G;Québec, v;54;;96;279;0;27;1;18;1;35;50;2;30;164;3;
633;Taschereau;2014-04-07;G;Québec, v;54;;97;301;0;37;0;2;1;41;23;2;28;134;2;
633;Taschereau;2014-04-07;G;Québec, v;54;;98;296;0;15;0;8;0;46;35;3;30;137;3;
633;Taschereau;2014-04-07;G;Québec, v;54;;99;471;0;18;0;13;1;44;28;3;34;141;2;
633;Taschereau;2014-04-07;G;Québec, v;54;;100;284;0;26;0;10;0;22;28;5;33;124;0;
633;Taschereau;2014-04-07;G;Québec, v;55;;101;336;0;40;1;13;2;59;31;4;22;172;3;
633;Taschereau;2014-04-07;G;Québec, v;55;;102;309;0;22;0;12;0;32;41;3;20;130;3;
633;Taschereau;2014-04-07;G;Québec, v;55;;103;345;0;22;1;19;2;49;40;5;15;153;4;
633;Taschereau;2014-04-07;G;Québec, v;55;;104;329;0;25;2;5;1;24;35;7;44;143;1;
633;Taschereau;2014-04-07;G;Québec, v;55;;105;402;0;29;0;8;4;40;53;6;72;212;4;
633;Taschereau;2014-04-07;G;Québec, v;55;;106;340;0;25;1;21;1;31;81;2;32;194;1;
633;Taschereau;2014-04-07;G;Québec, v;55;;107;282;1;26;0;14;1;39;32;3;24;140;0;
633;Taschereau;2014-04-07;G;Québec, v;56;;108;286;1;33;1;12;0;31;49;1;38;166;3;
633;Taschereau;2014-04-07;G;Québec, v;56;;109;276;0;25;0;7;1;35;32;2;30;132;4;
633;Taschereau;2014-04-07;G;Québec, v;56;;110;323;2;34;0;7;0;36;44;4;52;179;2;
633;Taschereau;2014-04-07;G;Québec, v;56;;111;309;0;25;1;12;0;38;48;5;42;171;0;
633;Taschereau;2014-04-07;G;Québec, v;56;;112;284;0;26;0;6;1;24;50;3;62;172;3;
633;Taschereau;2014-04-07;G;Québec, v;56;;113;348;0;46;1;16;1;36;41;1;30;172;3;
633;Taschereau;2014-04-07;G;Québec, v;56;;114;291;0;34;0;14;1;54;30;2;21;156;3;
633;Taschereau;2014-04-07;G;Québec, v;56;;115;599;0;19;0;2;2;26;27;1;37;114;2;
633;Taschereau;2014-04-07;G;Québec, v;57;;116;303;0;48;1;12;0;30;42;3;39;175;8;
633;Taschereau;2014-04-07;G;Québec, v;57;;117;307;0;32;2;12;1;37;74;4;42;204;3;
633;Taschereau;2014-04-07;G;Québec, v;57;;118;300;0;33;1;4;1;20;44;4;55;162;3;
633;Taschereau;2014-04-07;G;Québec, v;57;;119;322;0;39;0;7;1;28;53;4;44;176;3;
633;Taschereau;2014-04-07;G;Québec, v;57;;120;312;0;37;0;10;2;39;54;1;46;189;1;
633;Taschereau;2014-04-07;G;Québec, v;57;;121;288;1;34;0;4;1;23;51;1;43;158;7;
633;Taschereau;2014-04-07;G;Québec, v;58;;122;331;0;50;0;6;3;17;52;2;68;198;2;
633;Taschereau;2014-04-07;G;Québec, v;58;;123;343;0;46;1;2;1;8;35;1;74;168;1;
633;Taschereau;2014-04-07;G;Québec, v;58;;124;319;0;28;0;2;1;12;46;1;31;121;2;
633;Taschereau;2014-04-07;G;Québec, v;58;;125;312;0;23;4;3;1;35;36;0;31;133;8;
633;Taschereau;2014-04-07;G;Québec, v;58;;126;339;0;38;2;10;0;31;53;2;24;160;6;
633;Taschereau;2014-04-07;G;Québec, v;58;;127;321;0;28;2;14;1;40;42;3;34;164;2;
633;Taschereau;2014-04-07;G;Québec, v;58;;128;350;0;23;1;11;0;28;52;1;49;165;3;
633;Taschereau;2014-04-07;G;Québec, v;58;;129;340;0;22;0;12;2;21;47;1;38;143;3;
633;Taschereau;2014-04-07;G;Québec, v;58;;130A;214;0;27;0;2;0;15;21;1;19;85;0;
633;Taschereau;2014-04-07;G;Québec, v;58;;130B;247;0;11;3;7;1;10;37;4;15;88;3;
633;Taschereau;2014-04-07;G;Québec, v;58;;131;203;0;14;2;6;2;22;24;2;16;88;0;
633;Taschereau;2014-04-07;G;Québec, v;58;;132;333;0;26;0;19;1;37;48;1;17;149;7;
633;Taschereau;2014-04-07;G;Québec, v;59;;133;343;2;14;1;21;0;61;65;4;22;190;3;
633;Taschereau;2014-04-07;G;Québec, v;59;;134;304;0;21;0;18;0;52;41;4;22;158;3;
633;Taschereau;2014-04-07;G;Québec, v;59;;135;307;0;28;1;18;0;60;42;0;17;166;1;
633;Taschereau;2014-04-07;G;Québec, v;59;;136;294;0;19;0;13;0;37;45;2;17;133;0;
633;Taschereau;2014-04-07;G;Québec, v;59;;137;288;0;14;0;17;0;42;60;3;13;149;4;
633;Taschereau;2014-04-07;G;Québec, v;59;;138;347;0;26;0;13;0;42;51;4;29;165;3;
633;Taschereau;2014-04-07;G;Québec, v;60;;139;325;1;32;2;14;0;25;44;1;55;174;2;
633;Taschereau;2014-04-07;G;Québec, v;60;;140;264;0;22;1;5;0;16;33;0;59;136;0;
633;Taschereau;2014-04-07;G;Québec, v;60;;141;328;0;29;1;4;3;25;56;1;46;165;0;
633;Taschereau;2014-04-07;G;Québec, v;60;;142;293;0;21;1;12;0;31;56;4;53;178;3;
633;Taschereau;2014-04-07;G;Québec, v;60;;143;299;0;28;0;11;1;38;40;3;35;156;1;
633;Taschereau;2014-04-07;G;Québec, v;60;;144;269;0;13;1;0;0;17;42;2;33;108;0;
633;Taschereau;2014-04-07;G;Québec, v;60;;145;225;0;11;0;5;1;8;43;2;42;112;0;
