Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Couture Eric É.A.P. - P.C.Q.;Couture José P.L.Q./Q.L.P.;Dumont Mathieu Q.S.;Pouliot-Audet Olivier P.Q.;Roy Benoît Ind;Spénard André C.A.Q.-É.F.L.;Tessier-Moreau Lorenzo O.N. - P.I.Q.;B.V.;B.R.;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;78;323;4;53;3;4;1;95;1;161;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;79;375;2;79;7;3;0;111;0;202;4;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;80;336;4;62;6;8;3;83;2;168;3;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;81;309;1;66;5;9;1;58;0;140;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;82;422;3;80;0;13;2;124;0;222;3;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;83;412;0;75;4;18;1;129;0;227;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;84;364;0;81;3;9;1;105;0;199;5;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;85;303;1;61;1;12;2;71;2;150;5;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;86;368;0;7;0;7;0;14;0;28;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;87A;230;2;72;5;8;1;46;0;134;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;87B;219;1;42;0;13;1;55;2;114;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;88;299;2;59;2;15;2;81;1;162;3;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;89;319;2;50;2;17;1;101;0;173;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;90;316;4;77;4;15;3;92;0;195;2;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;91;308;1;57;0;13;3;64;0;138;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;92A;257;3;46;7;8;0;66;0;130;2;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;92B;238;3;39;1;3;0;73;2;121;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;93;326;3;47;7;18;1;108;0;184;3;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;2;;94;343;2;60;7;19;0;118;1;207;1;
309;Beauce-Nord;2014-04-07;G;Saint-Elzéar, m;1;;95;308;4;105;4;10;1;91;1;216;1;
309;Beauce-Nord;2014-04-07;G;Saint-Elzéar, m;1;;96;318;1;85;3;9;1;116;0;215;0;
309;Beauce-Nord;2014-04-07;G;Saint-Elzéar, m;1;;97;409;5;71;6;12;0;175;1;270;2;
309;Beauce-Nord;2014-04-07;G;Saint-Elzéar, m;1;;98;312;5;77;8;10;0;119;2;221;2;
309;Beauce-Nord;2014-04-07;G;Saint-Elzéar, m;1;;99;309;6;53;9;10;0;128;0;206;3;
309;Beauce-Nord;2014-04-07;G;Saint-Bernard, m;1;;100;295;3;60;5;12;0;96;0;176;2;
309;Beauce-Nord;2014-04-07;G;Saint-Bernard, m;1;;101;321;2;48;2;7;1;129;1;190;1;
309;Beauce-Nord;2014-04-07;G;Saint-Bernard, m;1;;102;377;0;78;4;20;0;159;0;261;3;
309;Beauce-Nord;2014-04-07;G;Saint-Bernard, m;1;;103;279;3;73;9;8;1;83;1;178;0;
309;Beauce-Nord;2014-04-07;G;Saint-Bernard, m;1;;104;328;3;65;3;7;1;116;0;195;0;
309;Beauce-Nord;2014-04-07;G;Scott, m;1;;105;406;3;68;3;14;1;184;1;274;4;
309;Beauce-Nord;2014-04-07;G;Scott, m;1;;106;330;1;61;4;9;0;109;1;185;4;
309;Beauce-Nord;2014-04-07;G;Scott, m;1;;107;306;2;63;7;14;2;110;1;199;1;
309;Beauce-Nord;2014-04-07;G;Scott, m;1;;108;342;2;75;5;16;0;105;1;204;1;
309;Beauce-Nord;2014-04-07;G;Scott, m;1;;109;338;0;65;7;16;0;127;1;216;2;
309;Beauce-Nord;2014-04-07;G;Sainte-Hénédine, p;1;;110;301;4;52;6;14;1;107;1;185;3;
309;Beauce-Nord;2014-04-07;G;Sainte-Hénédine, p;1;;111;318;7;77;6;17;0;104;1;212;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Hénédine, p;1;;112;320;2;84;7;16;2;107;0;218;2;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;113;290;2;74;11;13;1;101;1;203;1;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;114;308;1;70;4;9;1;106;1;192;0;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;115;305;5;87;3;9;1;80;0;185;0;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;116;339;4;65;15;20;0;118;0;222;2;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;117;327;5;76;4;16;2;109;1;213;2;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;118;319;0;89;9;10;1;92;2;203;2;
309;Beauce-Nord;2014-04-07;G;Saint-Isidore, m;1;;119;317;3;65;6;20;2;130;1;227;1;
