Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baril Marcel P.V.Q./G.P.Q.;Dupuis Linda O.N. - P.I.Q.;Godin Christian É.A.P. - P.C.Q.;LeBlanc Donald C.A.Q.-É.F.L.;Ménard Nicole P.L.Q./Q.L.P.;Stanké Sophie P.Q.;St-Denis Michèle Q.S.;B.V.;B.R.;
209;Laporte;2014-04-07;G;Longueuil, v;3;;67;308;3;1;0;17;64;35;17;137;1;
209;Laporte;2014-04-07;G;Longueuil, v;4;;68;297;4;0;1;20;63;28;13;129;2;
209;Laporte;2014-04-07;G;Longueuil, v;4;;69;508;2;1;0;25;72;23;7;130;2;
209;Laporte;2014-04-07;G;Longueuil, v;4;;70;475;6;1;1;20;57;17;10;112;1;
209;Laporte;2014-04-07;G;Longueuil, v;4;;71;307;5;0;0;21;91;38;10;165;2;
209;Laporte;2014-04-07;G;Longueuil, v;4;;72;320;7;1;1;26;85;28;17;165;0;
209;Laporte;2014-04-07;G;Longueuil, v;4;;73;300;6;0;0;16;69;38;15;144;1;
209;Laporte;2014-04-07;G;Longueuil, v;5;;74;295;4;2;2;10;86;40;13;157;1;
209;Laporte;2014-04-07;G;Longueuil, v;5;;75;285;7;4;1;30;62;48;24;176;5;
209;Laporte;2014-04-07;G;Longueuil, v;5;;76;257;2;1;2;14;72;26;16;133;0;
209;Laporte;2014-04-07;G;Longueuil, v;5;;77;268;2;1;0;18;96;33;14;164;2;
209;Laporte;2014-04-07;G;Longueuil, v;5;;78;330;1;4;0;27;99;24;15;170;2;
209;Laporte;2014-04-07;G;Longueuil, v;6;;79;320;2;0;1;35;118;23;12;191;4;
209;Laporte;2014-04-07;G;Longueuil, v;6;;80;335;1;1;2;35;115;19;7;180;1;
209;Laporte;2014-04-07;G;Longueuil, v;6;;81;315;6;0;0;14;141;24;9;194;1;
209;Laporte;2014-04-07;G;Longueuil, v;6;;82;311;3;0;1;9;146;11;19;189;0;
209;Laporte;2014-04-07;G;Longueuil, v;7;;83;318;7;0;1;18;103;28;9;166;3;
209;Laporte;2014-04-07;G;Longueuil, v;7;;84;307;4;0;0;13;116;37;13;183;3;
209;Laporte;2014-04-07;G;Longueuil, v;7;;85;290;3;2;0;15;123;26;21;190;0;
209;Laporte;2014-04-07;G;Longueuil, v;7;;86;279;5;1;1;30;103;26;13;179;1;
209;Laporte;2014-04-07;G;Longueuil, v;7;;87;311;4;1;0;17;93;15;7;137;1;
209;Laporte;2014-04-07;G;Longueuil, v;8;;88;311;4;0;0;32;40;45;11;132;7;
209;Laporte;2014-04-07;G;Longueuil, v;8;;89;283;2;2;3;27;39;35;11;119;1;
209;Laporte;2014-04-07;G;Longueuil, v;8;;90;334;2;0;1;45;31;38;7;124;4;
209;Laporte;2014-04-07;G;Longueuil, v;8;;91;278;0;2;0;26;30;38;5;101;5;
209;Laporte;2014-04-07;G;Longueuil, v;8;;92;283;4;4;1;29;40;30;7;115;1;
209;Laporte;2014-04-07;G;Longueuil, v;8;;93;335;7;1;3;29;46;52;8;146;4;
209;Laporte;2014-04-07;G;Longueuil, v;8;;94;283;1;1;0;27;25;28;11;93;4;
209;Laporte;2014-04-07;G;Longueuil, v;9;;95;349;2;2;0;36;31;36;9;116;3;
209;Laporte;2014-04-07;G;Longueuil, v;9;;96;333;4;2;1;52;28;52;12;151;2;
209;Laporte;2014-04-07;G;Longueuil, v;9;;97;373;6;1;0;50;43;51;10;161;5;
209;Laporte;2014-04-07;G;Longueuil, v;9;;98;348;3;3;1;28;38;74;14;161;1;
209;Laporte;2014-04-07;G;Longueuil, v;9;;99;283;6;0;0;41;32;39;10;128;0;
209;Laporte;2014-04-07;G;Longueuil, v;9;;100;304;3;0;0;50;51;62;11;177;0;
209;Laporte;2014-04-07;G;Longueuil, v;9;;101;328;8;1;0;35;46;55;9;154;5;
209;Laporte;2014-04-07;G;Longueuil, v;9;;102;355;7;0;1;50;38;52;18;166;2;
209;Laporte;2014-04-07;G;Longueuil, v;10;;103;341;2;2;1;30;34;44;7;120;5;
209;Laporte;2014-04-07;G;Longueuil, v;10;;104;353;8;2;1;37;46;80;11;185;3;
209;Laporte;2014-04-07;G;Longueuil, v;10;;105;347;2;2;0;53;57;52;7;173;3;
209;Laporte;2014-04-07;G;Longueuil, v;10;;106;308;2;1;2;50;30;41;15;141;8;
209;Laporte;2014-04-07;G;Longueuil, v;10;;107;317;5;2;1;39;41;34;6;128;4;
209;Laporte;2014-04-07;G;Longueuil, v;10;;108;309;0;1;0;36;47;42;11;137;1;
209;Laporte;2014-04-07;G;Longueuil, v;11;;109;337;4;4;1;25;63;55;17;169;1;
209;Laporte;2014-04-07;G;Longueuil, v;11;;110;324;3;2;3;21;45;50;12;136;4;
209;Laporte;2014-04-07;G;Longueuil, v;11;;111;349;4;1;0;41;44;46;26;162;0;
209;Laporte;2014-04-07;G;Longueuil, v;11;;112;319;1;2;1;40;52;44;17;157;2;
209;Laporte;2014-04-07;G;Longueuil, v;11;;113;323;3;0;1;24;51;56;10;145;1;
209;Laporte;2014-04-07;G;Longueuil, v;12;;114;336;0;2;1;33;33;41;9;119;5;
209;Laporte;2014-04-07;G;Longueuil, v;12;;115;314;3;0;1;43;33;52;11;143;4;
209;Laporte;2014-04-07;G;Longueuil, v;12;;116;361;3;1;1;44;43;34;11;137;8;
209;Laporte;2014-04-07;G;Longueuil, v;12;;117;366;4;0;2;45;50;49;11;161;4;
209;Laporte;2014-04-07;G;Longueuil, v;12;;118;333;2;4;1;37;35;48;11;138;4;
209;Laporte;2014-04-07;G;Longueuil, v;12;;119;318;5;1;1;33;49;38;19;146;5;
209;Laporte;2014-04-07;G;Longueuil, v;13;;120;298;3;3;1;29;47;36;7;126;5;
209;Laporte;2014-04-07;G;Longueuil, v;13;;121;318;2;1;0;38;80;52;6;179;0;
209;Laporte;2014-04-07;G;Longueuil, v;13;;122;323;5;1;0;36;53;62;12;169;3;
209;Laporte;2014-04-07;G;Longueuil, v;13;;123;312;3;1;2;45;64;41;12;168;2;
