Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Archambault Marcos P.Q.;Cauchon Jean-Gabriel O.N. - P.I.Q.;Dupré Léon M.P.Q.;Fortin Côté David Q.S.;Leclerc Julien P.Éq.;Nichols Marie-Claude P.L.Q./Q.L.P.;Paul Michel É.A.P. - P.C.Q.;Radcliffe Thomas P.V.Q./G.P.Q.;Tison Luc C.A.Q.-É.F.L.;B.V.;B.R.;
169;Vaudreuil;2014-04-07;G;Hudson, v;2;;149;381;5;0;0;3;1;193;0;5;7;214;2;
169;Vaudreuil;2014-04-07;G;Hudson, v;2;;150;391;8;0;0;3;0;174;0;5;6;196;0;
169;Vaudreuil;2014-04-07;G;L'Île-Perrot, v;1;Regr. BVO-48;500;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;Regr. BVO-98a;501;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;Regr. BVO-102;502;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;Regr. BVO-99;503;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;Regr. BVO-105;504;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;4;Regr. BVO-119;505;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;Regr. BVO-128;506;0;0;0;0;0;0;0;0;0;0;0;0;
169;Vaudreuil;2014-04-07;G;BVA1;;;;0;70;2;1;26;3;438;0;4;59;603;7;
169;Vaudreuil;2014-04-07;G;BVA2;;;;0;54;1;0;7;4;403;0;3;50;522;1;
169;Vaudreuil;2014-04-07;G;BVA3;;;;0;66;0;2;12;2;407;2;6;54;551;2;
169;Vaudreuil;2014-04-07;G;BVA4;;;;0;101;0;1;21;4;337;4;4;95;567;10;
169;Vaudreuil;2014-04-07;G;BVA5;;;;0;92;0;0;23;0;279;3;0;42;439;1;
169;Vaudreuil;2014-04-07;G;BVA6;;;;0;69;0;1;13;0;270;1;3;50;407;2;
169;Vaudreuil;2014-04-07;G;BVA7;;;;0;70;1;0;6;0;262;2;2;46;389;5;
