Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Richard C.A.Q.-É.F.L.;Chouakri Yasmina P.Q.;Couture Raphael O.N. - P.I.Q.;Lessard Marlène Q.S.;Teclou Annibal P.V.Q./G.P.Q.;Thériault Lise P.L.Q./Q.L.P.;B.V.;B.R.;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;31;411;43;58;3;24;1;99;228;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;32;408;44;80;2;35;3;77;241;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;33;415;32;42;1;21;3;61;160;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;34;413;44;41;1;17;0;88;191;1;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;364;;35;412;35;34;0;12;1;56;138;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;36;399;46;55;2;8;0;129;240;9;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;37;396;34;53;0;25;8;136;256;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;38;390;48;60;0;25;2;103;238;7;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;39;412;50;45;2;35;8;113;253;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;40;381;34;34;0;7;3;127;205;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;41;399;59;51;0;8;2;98;218;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;365;;42;405;40;62;7;11;2;125;247;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;43;381;50;40;0;9;1;89;189;8;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;44;378;45;41;0;7;0;91;184;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;45;899;59;78;2;8;4;129;280;4;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;46;389;43;57;0;18;1;116;235;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;47;384;47;31;1;7;2;93;181;0;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;48;551;44;28;1;9;3;128;213;0;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;49;399;41;33;1;4;2;109;190;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;50;385;33;39;0;6;2;103;183;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;51;382;45;38;0;5;1;90;179;0;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;366;;52;350;47;37;0;4;0;84;172;2;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;53;389;33;33;3;11;2;121;203;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;54;395;37;37;1;19;2;73;169;5;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;55;397;28;55;1;22;3;107;216;3;
373;Anjou-Louis-Riel;2014-04-07;G;Montréal, v;367;;56;400;27;49;1;11;2;92;182;7;
