Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bossé Bélanger Jade O.N. - P.I.Q.;Denis Marie-Josée P.L.Q./Q.L.P.;Grenier Maryse É.A.P. - P.C.Q.;Lusignan Carole Q.S.;Tremblay Serge C.A.Q.-É.F.L.;Turcotte Dave P.Q.;B.V.;B.R.;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;39A;174;0;21;0;10;29;29;89;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;39B;276;1;36;0;9;59;64;169;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;40A;244;1;19;1;5;49;43;118;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;40B;198;1;43;0;9;34;27;114;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;41;394;0;54;1;12;72;58;197;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;42A;280;1;26;0;7;69;48;151;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;42B;154;1;28;0;4;18;35;86;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;43;432;1;57;4;12;121;78;273;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;44A;241;2;33;0;10;61;56;162;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;44B;193;0;22;0;8;53;31;114;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;45;417;3;75;1;16;110;83;288;10;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;46;413;3;54;0;18;103;80;258;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;47;404;0;47;3;8;87;79;224;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;48;426;4;70;1;19;107;64;265;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;6;;49;398;0;68;0;12;85;62;227;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;50;364;4;47;1;17;76;81;226;9;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;51;388;1;61;1;17;66;77;223;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;52;347;4;51;0;10;54;57;176;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;53;354;0;52;1;18;82;48;201;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;54;343;4;47;2;16;78;79;226;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;55;359;4;49;1;12;75;68;209;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;56;376;2;38;0;10;71;54;175;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;57;339;2;29;0;10;57;34;132;9;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;58;404;2;43;2;9;65;52;173;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;59;381;2;42;3;12;80;79;218;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;60;382;0;36;1;5;58;89;189;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;7;;61;348;4;37;2;15;58;61;177;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;62;426;4;61;1;20;94;97;277;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;63;368;1;48;1;23;88;64;225;13;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;64;365;2;44;2;10;88;67;213;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;Regr. BVO-66;65;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;66;394;2;46;0;11;72;81;212;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;67;370;4;57;0;8;60;89;218;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;68;369;0;30;1;14;52;79;176;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;69;383;1;68;1;11;73;62;216;10;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;8;;70;386;2;44;4;12;98;48;208;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;;71;405;1;53;1;17;80;60;212;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;;72;398;2;47;0;21;76;55;201;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;Regr. BVO-74;73;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;;74;488;4;78;3;20;63;79;247;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;;75;418;3;74;3;15;67;57;219;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;;76;399;0;59;1;15;58;75;208;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;9;;77;401;1;57;3;11;74;57;203;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;10;;78;348;0;23;2;16;40;55;136;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;10;;79;350;1;23;3;18;60;53;158;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;10;;80;358;0;38;0;16;56;72;182;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;10;;81;327;2;21;2;13;48;57;143;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;10;;82;383;1;60;2;18;73;66;220;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;10;;83;332;2;42;2;23;49;44;162;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;11;;84;351;3;33;0;22;48;74;180;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;11;;85;379;3;41;0;21;57;55;177;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;11;;86;352;5;47;1;22;62;62;199;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;11;;87;360;2;35;3;10;59;51;160;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;11;;88;393;0;23;1;15;37;59;135;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;89;362;3;28;0;16;24;47;118;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;90;357;0;23;2;5;42;52;124;9;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;Regr. BVO-93;91;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;Regr. BVO-94;92;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;93;442;0;17;1;23;28;41;110;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;94;469;1;23;1;17;46;62;150;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;95;391;2;23;0;15;31;55;126;12;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;96;371;0;34;1;17;58;60;170;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;97A;350;3;43;1;17;34;43;141;9;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;97B;336;2;153;1;4;47;57;264;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;12;;98;350;1;19;1;13;34;44;112;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;13;;99;364;1;46;1;13;66;77;204;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;13;;100;384;2;35;0;21;60;81;199;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;13;;101;387;4;33;2;17;69;78;203;8;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;13;;102;389;1;58;1;15;59;53;187;9;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;13;;103;351;3;39;1;10;49;60;162;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;13;;104;398;5;30;2;8;60;67;172;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;14;;105;349;2;51;0;12;59;53;177;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;14;;106;359;0;47;1;8;67;47;170;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;14;;107;339;2;63;1;10;59;48;183;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;14;;108;349;2;72;1;4;62;65;206;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;15;;109;368;2;54;1;15;63;60;195;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;15;;110;373;2;62;0;19;64;64;211;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;15;;111;358;3;59;1;13;87;61;224;2;
