Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard René P.Q.;Lemay François C.A.Q.-É.F.L.;Paradis Pierre P.L.Q./Q.L.P.;Pépin Nicolas O.N. - P.I.Q.;Van Caloen Benoit Q.S.;B.V.;B.R.;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;94;324;8;45;97;0;13;163;2;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;95;289;20;30;135;0;17;202;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;96;265;3;17;78;0;4;102;3;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;97;303;24;43;77;1;5;150;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;98;319;12;54;86;1;4;157;0;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;99;326;11;25;105;0;2;143;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;100;253;11;18;78;0;10;117;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;101;328;6;7;130;0;6;149;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;102;309;6;10;72;0;1;89;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;103;348;10;25;105;0;1;141;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;104;293;8;20;105;0;7;140;0;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;105;329;56;100;43;0;15;214;5;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;106;290;29;87;51;2;13;182;5;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;107;354;27;63;43;1;7;141;1;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;108A;274;41;58;38;0;17;154;4;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;108B;274;49;52;41;2;14;158;2;
129;Brome-Missisquoi;2014-04-07;G;Bromont, v;1;;109;389;32;81;87;0;7;207;4;
