Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Jean-Yves Q.S.;Latrémouille Ian C.A.Q.-É.F.L.;Marois Pauline P.Q.;Mélançon Chantal É.A.P. - P.C.Q.;Simard Caroline P.L.Q./Q.L.P.;Thériault François O.N. - P.I.Q.;B.V.;B.R.;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Petite-Rivière-Saint-François, m;1;;73;321;2;22;48;1;112;0;185;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Tite-des-Caps, m;1;;74;300;4;72;31;1;44;2;154;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Tite-des-Caps, m;1;;75;272;4;73;41;0;51;2;171;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Tite-des-Caps, m;1;;76;311;5;85;50;1;53;1;195;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Tite-des-Caps, m;1;;77;291;4;73;50;1;65;1;194;7;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;78;369;18;72;38;3;65;2;198;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;79;362;8;61;45;1;55;0;170;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;80;357;8;74;47;1;66;5;201;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;81;354;22;58;45;3;70;4;202;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;82;353;14;54;53;1;64;1;187;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;83;374;11;68;35;2;64;3;183;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Ferréol-les-Neiges, m;1;;84;351;12;62;35;4;81;1;195;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Joachim, p;1;;85;394;4;92;62;6;71;1;236;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Joachim, p;1;;86;413;22;84;67;2;77;6;258;6;
