Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Chateauneuf Gaétan Q.S.;Gagnon Jean-Pierre P.L.Q./Q.L.P.;Kotto Maka P.Q.;Lapierre Thomas P.V.Q./G.P.Q.;Medza Sylvain C.A.Q.-É.F.L.;Saavedra Renaud Diego O.N. - P.I.Q.;B.V.;B.R.;
377;Bourget;2014-04-07;G;Montréal, v;347;;47;532;0;11;50;66;2;31;0;160;1;
377;Bourget;2014-04-07;G;Montréal, v;347;;48;379;0;21;46;49;4;25;1;146;1;
377;Bourget;2014-04-07;G;Montréal, v;348;;49;395;2;21;48;84;7;51;3;216;2;
377;Bourget;2014-04-07;G;Montréal, v;348;;50;378;0;29;62;88;1;42;0;222;4;
377;Bourget;2014-04-07;G;Montréal, v;348;;51;414;0;21;37;68;3;31;2;162;6;
377;Bourget;2014-04-07;G;Montréal, v;348;;52;415;1;28;43;53;4;25;5;159;2;
377;Bourget;2014-04-07;G;Montréal, v;348;;53;383;1;18;44;59;5;41;2;170;4;
377;Bourget;2014-04-07;G;Montréal, v;349;;54;330;0;19;51;62;1;55;2;190;4;
377;Bourget;2014-04-07;G;Montréal, v;349;;55;376;1;25;45;94;1;58;0;224;2;
377;Bourget;2014-04-07;G;Montréal, v;349;;56;353;1;36;49;97;2;41;2;228;3;
377;Bourget;2014-04-07;G;Montréal, v;349;;57;352;2;36;33;93;3;43;2;212;8;
377;Bourget;2014-04-07;G;Montréal, v;349;;58A;296;1;27;17;69;6;45;4;169;6;
377;Bourget;2014-04-07;G;Montréal, v;349;;58B;142;0;12;16;35;1;11;0;75;0;
377;Bourget;2014-04-07;G;Montréal, v;350;;59;378;1;32;42;102;1;53;0;231;2;
377;Bourget;2014-04-07;G;Montréal, v;350;;60;406;2;27;54;92;4;34;2;215;4;
377;Bourget;2014-04-07;G;Montréal, v;350;;61;365;0;18;54;86;6;25;2;191;3;
377;Bourget;2014-04-07;G;Montréal, v;350;;62;383;0;19;61;62;1;54;2;199;2;
377;Bourget;2014-04-07;G;Montréal, v;350;;63;372;1;18;47;89;6;39;1;201;7;
377;Bourget;2014-04-07;G;Montréal, v;351;;64;364;1;40;36;94;2;54;4;231;1;
377;Bourget;2014-04-07;G;Montréal, v;351;;65;357;1;24;31;88;3;46;1;194;4;
377;Bourget;2014-04-07;G;Montréal, v;351;;66;337;1;19;21;72;2;53;0;168;4;
377;Bourget;2014-04-07;G;Montréal, v;351;;67;358;0;18;40;44;3;19;1;125;9;
377;Bourget;2014-04-07;G;Montréal, v;351;;68;334;0;15;24;71;5;41;2;158;3;
377;Bourget;2014-04-07;G;Montréal, v;351;;69;378;0;23;59;65;3;26;2;178;3;
377;Bourget;2014-04-07;G;Montréal, v;352;;70;322;0;29;32;79;5;45;4;194;3;
377;Bourget;2014-04-07;G;Montréal, v;352;;71;328;1;23;36;64;0;32;3;159;0;
