Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Champagne Noëlla P.Q.;D'Amours Andrew C.A.Q.-É.F.L.;Favreau Lucie Q.S.;Lavigne-Lefebvre Nicolas O.N. - P.I.Q.;B.V.;B.R.;
593;Champlain;2014-04-07;G;Trois-Rivières, v;36;;75;409;44;56;57;15;3;175;0;
593;Champlain;2014-04-07;G;Trois-Rivières, v;36;;76;372;40;44;37;11;2;134;7;
593;Champlain;2014-04-07;G;Trois-Rivières, v;36;;77;420;47;54;69;16;2;188;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;36;;78;393;35;37;62;7;0;141;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;37;;79;423;47;44;59;9;3;162;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;37;;80;387;39;60;57;18;1;175;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;37;;81;551;31;52;51;14;2;150;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;37;;82;410;52;67;47;13;0;179;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;38;;83;370;44;48;46;9;2;149;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;38;;84;377;87;55;43;11;2;198;7;
593;Champlain;2014-04-07;G;Trois-Rivières, v;38;;85;396;56;59;65;8;5;193;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;38;;86;382;59;62;39;12;2;174;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;38;;87A;196;21;18;31;4;0;74;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;38;;87B;228;31;28;35;5;1;100;0;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;88;434;58;67;62;7;0;194;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;89;352;60;48;64;9;0;181;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;90;365;48;54;59;12;0;173;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;91;363;51;64;76;13;3;207;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;92;358;48;54;84;8;1;195;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;93;392;58;52;57;9;0;176;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;39;;94;355;53;60;60;10;0;183;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;95;401;58;80;78;18;4;238;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;96;417;66;51;93;9;2;221;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;97;406;74;46;101;13;2;236;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;98A;266;18;29;57;5;0;109;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;98B;201;23;26;46;2;1;98;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;99A;208;38;28;59;2;1;128;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;99B;274;32;28;59;7;0;126;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;100;381;59;46;80;8;5;198;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;40;;101;386;34;63;88;8;1;194;2;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;102A;214;37;17;77;6;0;137;1;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;102B;214;28;28;48;7;0;111;0;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;103;356;80;64;63;8;2;217;1;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;104;372;73;67;88;13;2;243;3;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;105;369;53;76;67;13;0;209;5;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;106;373;68;80;76;22;0;246;5;
593;Champlain;2014-04-07;G;Saint-Maurice, p;1;;107;414;53;61;116;4;1;235;12;
593;Champlain;2014-04-07;G;Saint-Luc-de-Vincennes, m;1;;108;228;33;38;49;15;1;136;5;
593;Champlain;2014-04-07;G;Saint-Luc-de-Vincennes, m;1;;109;224;35;44;48;4;0;131;3;
593;Champlain;2014-04-07;G;Saint-Narcisse, p;1;;110;356;70;77;62;10;0;219;5;
593;Champlain;2014-04-07;G;Saint-Narcisse, p;1;;111;336;78;78;61;9;0;226;3;
593;Champlain;2014-04-07;G;Saint-Narcisse, p;1;;112;356;79;84;53;5;1;222;6;
593;Champlain;2014-04-07;G;Saint-Narcisse, p;1;;113;393;99;102;86;7;1;295;2;
593;Champlain;2014-04-07;G;Saint-Stanislas, m;1;;114;286;66;46;66;7;1;186;3;
