Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchet Yves-François P.Q.;Desrochers François Q.S.;Doucet Magali O.N. - P.I.Q.;Gauthier Sébastien P.N.;Lamontagne André C.A.Q.-É.F.L.;Lussier Benoit É.A.P. - P.C.Q.;Mercier Brigitte P.L.Q./Q.L.P.;B.V.;B.R.;
269;Johnson;2014-04-07;G;Drummondville, v;18;;70;376;70;11;2;5;97;2;42;229;3;
269;Johnson;2014-04-07;G;L'Avenir, m;1;;71;341;44;7;1;1;89;2;41;185;5;
269;Johnson;2014-04-07;G;L'Avenir, m;1;;72;357;72;27;0;6;81;0;65;251;4;
269;Johnson;2014-04-07;G;L'Avenir, m;1;;73;349;58;14;0;2;99;0;48;221;4;
269;Johnson;2014-04-07;G;Wickham, m;1;;74;382;76;16;0;5;74;2;41;214;9;
269;Johnson;2014-04-07;G;Wickham, m;1;;75;379;57;21;5;6;92;0;35;216;4;
269;Johnson;2014-04-07;G;Wickham, m;1;;76;357;52;13;3;4;75;1;51;199;11;
269;Johnson;2014-04-07;G;Wickham, m;1;;77;378;58;12;0;1;78;1;58;208;5;
269;Johnson;2014-04-07;G;Wickham, m;1;;78;381;63;12;0;1;89;3;42;210;7;
269;Johnson;2014-04-07;G;Lefebvre, m;1;;79;320;52;13;3;4;85;1;51;209;1;
269;Johnson;2014-04-07;G;Lefebvre, m;1;;80;339;50;19;3;3;94;4;47;220;6;
269;Johnson;2014-04-07;G;Durham-Sud, m;1;;81;404;81;19;1;4;86;1;69;261;4;
269;Johnson;2014-04-07;G;Durham-Sud, m;1;;82;380;66;24;1;3;58;1;95;248;3;
269;Johnson;2014-04-07;G;Sainte-Christine, p;1;;83;292;64;14;1;0;68;6;50;203;3;
269;Johnson;2014-04-07;G;Sainte-Christine, p;1;;84;292;56;15;2;5;68;0;36;182;7;
269;Johnson;2014-04-07;G;Roxton, ct;1;;85;269;45;11;0;1;67;4;49;177;4;
269;Johnson;2014-04-07;G;Roxton, ct;1;;86;287;49;9;0;4;56;1;43;162;1;
269;Johnson;2014-04-07;G;Roxton, ct;1;;87;263;35;14;0;1;53;3;29;135;2;
