Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bessette Andrée Q.S.;Charlebois Lucie P.L.Q./Q.L.P.;Domingos Patricia P.Éq.;Marquis Patrick O.N. - P.I.Q.;Séguin Marie-Louise P.Q.;B.V.;B.R.;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;61A;217;14;43;4;3;51;115;4;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;61B;256;10;38;3;1;50;102;4;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;62;317;15;49;2;2;79;147;5;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;63;358;31;92;7;6;76;212;4;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;64;335;24;55;4;8;83;174;14;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;65;352;20;51;7;3;79;160;19;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;66A;222;12;38;5;3;54;112;7;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;66B;244;7;44;6;4;52;113;2;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;67;291;21;49;9;8;58;145;11;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;68;408;29;65;5;7;92;198;10;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;69;301;16;71;6;4;66;163;6;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;70;335;16;77;4;3;59;159;14;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;71;314;16;64;5;1;64;150;0;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;72;323;24;59;2;2;49;136;10;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;73;306;15;64;5;5;52;141;11;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;74;329;31;62;1;2;80;176;9;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;75;319;19;46;6;1;54;126;5;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;76;332;16;62;3;2;47;130;9;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;77;347;20;64;2;2;61;149;9;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;Regr. BVO-77;78;0;0;0;0;0;0;0;0;
163;Soulanges;2014-04-07;G;Coteau-du-Lac, v;1;;79;326;18;38;6;2;46;110;6;
