Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Avalos Laura Q.S.;Boily Philippe O.N. - P.I.Q.;Carrière Marc P.L.Q./Q.L.P.;Fleury Roger P.V.Q./G.P.Q.;Morin Yves P.Q.;Pelletier Carl C.A.Q.-É.F.L.;Soublière Pierre P.M.L.Q.;B.V.;B.R.;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;59;392;15;2;121;2;28;34;0;202;4;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;60;362;10;2;123;6;25;20;2;188;1;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;61;376;16;2;119;0;29;25;1;192;5;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;62;355;20;2;115;3;36;34;1;211;4;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;63;398;5;3;62;1;14;16;1;102;4;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;64;482;4;0;82;1;16;17;0;120;0;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;65;472;14;1;104;4;34;24;3;184;3;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;66A;376;7;4;137;2;38;27;0;215;2;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;66B;288;10;2;131;1;33;12;0;189;3;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;66C;404;8;1;94;3;27;15;2;150;1;
