Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubé Gilles P.Q.;Citegetse Jean Bosco C.A.Q.-É.F.L.;Gaudreault Maryse P.L.Q./Q.L.P.;Girard Bernier Gabriel P.M.L.Q.;Harb Eid O.N. - P.I.Q.;Renaud Benoit Q.S.;B.V.;B.R.;
561;Hull;2014-04-07;G;Gatineau, v;9;;35;405;57;32;129;2;1;28;249;6;
561;Hull;2014-04-07;G;Gatineau, v;9;;36;423;50;35;157;1;2;15;260;0;
561;Hull;2014-04-07;G;Gatineau, v;9;;37A;240;33;25;80;0;1;13;152;1;
561;Hull;2014-04-07;G;Gatineau, v;9;;37B;192;40;13;63;1;0;11;128;1;
561;Hull;2014-04-07;G;Gatineau, v;9;;38;415;55;34;146;2;1;20;258;3;
561;Hull;2014-04-07;G;Gatineau, v;9;;39A;209;32;15;84;0;0;3;134;0;
561;Hull;2014-04-07;G;Gatineau, v;9;;39B;221;24;24;90;0;0;18;156;1;
561;Hull;2014-04-07;G;Gatineau, v;9;;40A;250;31;29;86;2;1;10;159;5;
561;Hull;2014-04-07;G;Gatineau, v;9;;40B;188;23;13;59;0;0;20;115;2;
561;Hull;2014-04-07;G;Gatineau, v;9;;41;426;33;35;135;0;1;23;227;4;
561;Hull;2014-04-07;G;Gatineau, v;9;;42A;295;37;22;103;0;0;15;177;8;
561;Hull;2014-04-07;G;Gatineau, v;9;;42B;302;29;19;104;1;1;14;168;3;
561;Hull;2014-04-07;G;Gatineau, v;9;;43;426;47;23;141;2;0;25;238;5;
561;Hull;2014-04-07;G;Gatineau, v;9;;44A;263;13;15;97;0;1;13;139;0;
561;Hull;2014-04-07;G;Gatineau, v;9;;44B;238;14;16;78;0;2;9;119;1;
561;Hull;2014-04-07;G;Gatineau, v;10;;45;413;48;34;183;0;2;19;286;4;
561;Hull;2014-04-07;G;Gatineau, v;10;;46;388;85;21;110;0;1;28;245;5;
561;Hull;2014-04-07;G;Gatineau, v;10;;47;417;64;28;138;0;0;21;251;0;
561;Hull;2014-04-07;G;Gatineau, v;10;;48;410;65;37;109;1;2;50;264;7;
561;Hull;2014-04-07;G;Gatineau, v;10;;49;399;45;37;104;1;3;34;224;2;
561;Hull;2014-04-07;G;Gatineau, v;10;;50;409;31;22;102;1;3;19;178;5;
561;Hull;2014-04-07;G;Gatineau, v;10;;51;420;60;26;97;1;4;34;222;3;
561;Hull;2014-04-07;G;Gatineau, v;10;;52;376;64;14;75;0;1;33;187;4;
561;Hull;2014-04-07;G;Gatineau, v;10;;53;407;24;8;90;1;2;4;129;2;
561;Hull;2014-04-07;G;Gatineau, v;10;;54;379;43;28;84;2;2;35;194;5;
561;Hull;2014-04-07;G;Gatineau, v;10;;55;379;59;25;99;2;1;28;214;6;
561;Hull;2014-04-07;G;Gatineau, v;10;;56;386;53;22;124;2;0;23;224;3;
561;Hull;2014-04-07;G;Gatineau, v;10;;57;392;33;20;113;0;0;25;191;4;
561;Hull;2014-04-07;G;Gatineau, v;10;;58;390;53;25;121;1;0;29;229;4;
561;Hull;2014-04-07;G;Gatineau, v;11;;59;354;57;13;82;0;0;25;177;7;
561;Hull;2014-04-07;G;Gatineau, v;11;;60;343;40;27;78;1;0;13;159;2;
561;Hull;2014-04-07;G;Gatineau, v;11;;61;353;18;23;51;3;0;9;104;4;
561;Hull;2014-04-07;G;Gatineau, v;11;;62;346;20;17;63;2;0;6;108;4;
561;Hull;2014-04-07;G;Gatineau, v;11;;63;338;21;14;64;1;1;8;109;4;
561;Hull;2014-04-07;G;Gatineau, v;11;;64;334;23;11;70;0;2;7;113;1;
561;Hull;2014-04-07;G;Gatineau, v;11;;65;353;43;20;54;1;1;22;141;3;
561;Hull;2014-04-07;G;Gatineau, v;12;;66;358;28;17;94;2;0;19;160;2;
561;Hull;2014-04-07;G;Gatineau, v;12;;67;343;61;37;95;0;0;21;214;1;
561;Hull;2014-04-07;G;Gatineau, v;12;;68;325;51;14;97;0;1;26;189;4;
561;Hull;2014-04-07;G;Gatineau, v;12;;69;327;35;10;92;0;0;20;157;3;
561;Hull;2014-04-07;G;Gatineau, v;12;;70;331;40;34;70;1;2;28;175;2;
561;Hull;2014-04-07;G;Gatineau, v;13;;71;328;26;21;65;1;2;10;125;3;
561;Hull;2014-04-07;G;Gatineau, v;13;;72;324;63;25;100;0;0;22;210;7;
561;Hull;2014-04-07;G;Gatineau, v;13;;73;366;31;20;101;0;0;11;163;2;
561;Hull;2014-04-07;G;Gatineau, v;13;;74;349;49;16;112;0;3;37;217;4;
561;Hull;2014-04-07;G;Gatineau, v;14;;75;416;38;28;102;0;2;23;193;2;
561;Hull;2014-04-07;G;Gatineau, v;14;;76;394;35;26;105;1;0;24;191;3;
561;Hull;2014-04-07;G;Gatineau, v;14;;77;371;27;19;94;3;1;15;159;6;
561;Hull;2014-04-07;G;Gatineau, v;14;;78;402;45;31;114;2;0;18;210;3;
561;Hull;2014-04-07;G;Gatineau, v;15;;79;375;32;17;77;1;2;17;146;3;
561;Hull;2014-04-07;G;Gatineau, v;15;;80;337;25;8;66;0;0;4;103;2;
561;Hull;2014-04-07;G;Gatineau, v;15;;81;353;28;9;70;0;1;9;117;3;
561;Hull;2014-04-07;G;Gatineau, v;15;;82;352;30;14;74;1;0;15;134;2;
561;Hull;2014-04-07;G;Gatineau, v;15;;83;400;20;7;70;0;0;8;105;2;
561;Hull;2014-04-07;G;Gatineau, v;16;;84;381;37;17;100;0;2;27;183;0;
561;Hull;2014-04-07;G;Gatineau, v;16;;85;414;48;26;104;0;0;17;195;6;
561;Hull;2014-04-07;G;Gatineau, v;16;;86;383;29;16;78;0;1;13;137;2;
561;Hull;2014-04-07;G;Gatineau, v;16;;87;410;28;29;103;0;1;11;172;3;
561;Hull;2014-04-07;G;Gatineau, v;16;;88;389;28;21;81;1;1;19;151;4;
561;Hull;2014-04-07;G;Gatineau, v;16;;89;396;30;27;61;0;0;25;143;4;
561;Hull;2014-04-07;G;Gatineau, v;16;;90;585;57;14;71;1;1;21;165;2;
561;Hull;2014-04-07;G;Gatineau, v;17;;91;430;52;23;99;1;0;32;207;1;
561;Hull;2014-04-07;G;Gatineau, v;17;;92;366;47;34;107;1;4;30;223;6;
561;Hull;2014-04-07;G;Gatineau, v;17;;93;383;46;20;85;1;2;24;178;5;
561;Hull;2014-04-07;G;Gatineau, v;17;;94;376;37;21;116;0;1;26;201;6;
561;Hull;2014-04-07;G;Gatineau, v;17;;95;384;45;17;60;4;0;21;147;0;
561;Hull;2014-04-07;G;Gatineau, v;17;;96;385;20;18;74;0;3;22;137;4;
561;Hull;2014-04-07;G;Gatineau, v;17;;97;525;36;25;89;0;3;20;173;4;
561;Hull;2014-04-07;G;Gatineau, v;17;;98;508;42;25;73;2;2;29;173;2;
561;Hull;2014-04-07;G;Gatineau, v;17;;99;374;41;13;83;0;0;40;177;3;
561;Hull;2014-04-07;G;Gatineau, v;17;;100;413;60;18;97;2;2;40;219;3;
561;Hull;2014-04-07;G;Gatineau, v;18;;101;341;42;16;60;1;0;32;151;2;
561;Hull;2014-04-07;G;Gatineau, v;18;;102;346;45;10;78;0;1;30;164;0;
561;Hull;2014-04-07;G;Gatineau, v;18;;103;347;34;25;71;1;3;17;151;1;
561;Hull;2014-04-07;G;Gatineau, v;18;;104;362;45;18;74;0;0;19;156;1;
561;Hull;2014-04-07;G;Gatineau, v;18;;105;345;46;18;66;0;0;27;157;4;
561;Hull;2014-04-07;G;Gatineau, v;18;;106;332;25;18;78;0;1;22;144;4;
561;Hull;2014-04-07;G;Gatineau, v;19;;107;310;33;11;114;2;0;22;182;3;
561;Hull;2014-04-07;G;Gatineau, v;19;;108;308;14;13;53;1;0;10;91;1;
561;Hull;2014-04-07;G;Gatineau, v;19;;109;343;22;6;52;2;1;20;103;1;
561;Hull;2014-04-07;G;Gatineau, v;19;;110;361;19;6;71;3;1;17;117;5;
561;Hull;2014-04-07;G;Gatineau, v;19;;111;374;11;5;67;1;2;21;107;0;
561;Hull;2014-04-07;G;Gatineau, v;19;;112;362;16;5;80;2;1;20;124;3;
