Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Denise P.Q.;Boisvert Ismaël P.L.Q./Q.L.P.;D'Amours Sylvie C.A.Q.-É.F.L.;Jaccoud Mylène Q.S.;Jean-Louis Curtis O.N. - P.I.Q.;Linskiy Andre É.A.P. - P.C.Q.;B.V.;B.R.;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;137;345;79;37;87;12;3;0;218;6;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;138;358;63;29;65;22;0;3;182;4;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;139;362;58;26;93;5;0;2;184;5;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;140A;204;38;28;47;5;1;0;119;4;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;140B;237;51;23;52;1;0;1;128;0;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;141A;315;41;28;74;5;1;1;150;5;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;141B;339;65;24;79;11;1;0;180;8;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;142A;301;54;28;80;14;0;3;179;3;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;142B;277;29;20;75;16;0;0;140;0;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;143;310;76;21;60;6;4;2;169;4;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;144;346;61;32;85;9;0;4;191;0;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;145;397;66;18;85;10;0;2;181;2;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;146;322;69;33;66;7;0;2;177;2;
495;Mirabel;2014-04-07;G;Mirabel, v;6;;147;308;56;22;68;11;4;1;162;3;
