Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bertrand Clotilde Q.S.;Chouinard Nicole C.A.Q.-É.F.L.;Cloutier Samuel O.N. - P.I.Q.;Dupré Serge M.P.Q.;Lefebvre Rouge P.V.Q./G.P.Q.;Richer Roland P.Q.;St-Denis Yves P.L.Q./Q.L.P.;B.V.;B.R.;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;70;349;8;28;0;0;1;40;41;118;1;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;71;363;17;32;1;1;0;58;19;128;5;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;72;373;13;53;0;0;0;76;13;155;1;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;73;366;14;32;1;0;2;40;33;122;7;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;74;373;9;53;2;0;0;43;40;147;3;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;75;388;10;40;1;0;2;44;40;137;1;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;76;349;5;47;0;1;3;38;49;143;1;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;77;347;13;32;1;0;4;29;61;140;3;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;78;356;15;39;1;0;0;38;54;147;0;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;79;370;13;55;1;0;1;32;57;159;3;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;80;356;13;56;1;1;1;45;63;180;1;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;81;353;9;40;0;0;6;31;63;149;0;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;82;360;12;51;0;0;1;40;57;161;0;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;83;363;17;28;1;0;6;35;74;161;1;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;84;351;12;31;0;0;2;28;74;147;3;
535;Argenteuil;2014-04-07;G;Morin-Heights, m;1;;85;358;15;37;0;1;3;22;75;153;2;
535;Argenteuil;2014-04-07;G;Mille-Isles, m;1;;86;315;10;56;3;1;3;67;32;172;0;
535;Argenteuil;2014-04-07;G;Mille-Isles, m;1;;87;317;10;61;0;0;9;59;72;211;3;
535;Argenteuil;2014-04-07;G;Mille-Isles, m;1;;88;305;14;28;1;0;3;56;79;181;1;
535;Argenteuil;2014-04-07;G;Mille-Isles, m;1;;89;308;18;47;3;0;1;53;50;172;0;
535;Argenteuil;2014-04-07;G;Wentworth-Nord, m;1;;90;370;7;24;0;0;1;55;79;166;4;
535;Argenteuil;2014-04-07;G;Wentworth-Nord, m;1;;91;363;13;48;1;0;2;88;52;204;3;
535;Argenteuil;2014-04-07;G;Wentworth-Nord, m;1;;92;359;11;29;0;1;0;70;35;146;1;
535;Argenteuil;2014-04-07;G;Wentworth, ct;1;;93;399;4;16;1;0;1;58;167;247;1;
535;Argenteuil;2014-04-07;G;Gore, ct;1;;94;356;10;43;1;0;3;55;44;156;4;
535;Argenteuil;2014-04-07;G;Gore, ct;1;;95;367;8;32;0;1;2;54;87;184;0;
535;Argenteuil;2014-04-07;G;Gore, ct;1;;96;352;7;56;1;1;1;66;52;184;5;
535;Argenteuil;2014-04-07;G;Gore, ct;1;;97;379;7;46;0;1;1;56;62;173;3;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;98;376;13;73;0;0;1;73;34;194;5;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;99;367;12;75;2;0;1;53;32;175;6;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;100;375;13;54;1;0;3;58;30;159;5;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;101;375;12;74;1;0;3;63;31;184;4;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;102;372;3;81;0;0;5;51;25;165;6;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;103;386;13;72;0;0;3;75;15;178;4;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;104;377;14;82;0;0;2;60;36;194;4;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;105;381;20;70;1;1;5;78;27;202;3;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;106;388;14;99;1;0;5;66;39;224;3;
535;Argenteuil;2014-04-07;G;Saint-Colomban, v;1;;107;382;16;74;1;1;6;68;44;210;2;
