Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chénier Pierre P.M.L.Q.;Drainville Bernard P.Q.;Lévesque Carl Q.S.;Lovatt-Smith Catherine P.V.Q./G.P.Q.;Portron Florent É.A.;Provencher Guillaume C.A.Q.-É.F.L.;Tremblay Jean-Guy P.L.Q./Q.L.P.;Villemaire Fabien O.N. - P.I.Q.;B.V.;B.R.;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;64;357;1;63;25;8;0;36;38;2;173;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;65;368;1;68;34;3;1;43;32;0;182;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;66;374;1;83;24;6;0;25;62;2;203;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;67;361;1;73;25;4;0;36;39;0;178;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;68;391;0;69;31;9;0;40;38;1;188;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;69;410;0;61;31;4;1;26;61;2;186;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;70;410;1;69;32;3;0;47;45;1;198;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;71;391;0;81;8;8;1;37;47;4;186;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;72;388;0;62;20;2;0;49;37;0;170;9;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;73;414;1;87;16;3;1;56;39;2;205;9;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;74;393;0;67;26;2;0;50;45;1;191;8;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;75A;264;0;52;17;2;0;21;31;2;125;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;75B;174;0;18;5;4;0;27;15;0;69;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;76;381;1;73;14;2;0;41;54;2;187;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;26;;77;376;0;74;13;7;0;39;43;3;179;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;27;;78;367;0;56;15;2;0;35;50;4;162;3;
