Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Bergeron Dany É.A.P. - P.C.Q.;Côté Patrick O.N. - P.I.Q.;Dallaire Patrice P.Q.;Hamad Sam P.L.Q./Q.L.P.;Minville Pascal Q.S.;B.V.;B.R.;
653;Louis-Hébert;2014-04-07;G;Québec, v;10;;45;346;72;2;0;25;69;11;179;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;10;;46;347;64;0;2;31;76;10;183;5;
653;Louis-Hébert;2014-04-07;G;Québec, v;10;;47;341;46;1;1;33;59;19;159;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;10;;48;338;67;1;1;28;85;10;192;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;11;;49;342;51;2;0;20;59;9;141;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;11;;50;339;48;2;1;30;78;12;171;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;11;;51;330;62;4;5;48;74;14;207;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;11;;52;330;55;2;2;36;68;12;175;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;11;;53;338;66;1;2;29;75;8;181;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;54;361;69;1;0;22;78;6;176;5;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;55;369;90;4;0;23;108;12;237;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;56;363;68;0;1;37;89;3;198;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;57;369;71;4;1;28;73;11;188;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;58;373;86;2;0;21;98;6;213;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;59;361;82;2;0;30;74;12;200;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;12;;60;367;85;1;1;19;112;7;225;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;61;366;54;1;4;23;104;17;203;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;62;363;67;4;0;21;106;8;206;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;63;356;45;1;1;31;77;8;163;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;64;362;64;2;3;24;81;9;183;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;65;358;63;3;0;16;128;4;214;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;13;;66;369;79;2;0;24;141;6;252;0;
