Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergeron Stéphane P.Q.;Coulombe Mathieu O.N. - P.I.Q.;Jarrousse Céline Q.S.;Renaud Yves C.A.Q.-É.F.L.;Rocheleau Simon P.L.Q./Q.L.P.;B.V.;B.R.;
249;Verchères;2014-04-07;G;Varennes, v;4;;62;376;82;2;7;75;48;214;1;
249;Verchères;2014-04-07;G;Varennes, v;4;;63;388;75;3;18;74;47;217;5;
249;Verchères;2014-04-07;G;Varennes, v;4;;64;383;78;2;13;83;37;213;4;
249;Verchères;2014-04-07;G;Varennes, v;4;;65;385;70;3;8;85;61;227;4;
249;Verchères;2014-04-07;G;Varennes, v;4;;66;367;79;2;25;86;47;239;4;
249;Verchères;2014-04-07;G;Varennes, v;4;;67;392;131;3;17;68;22;241;6;
249;Verchères;2014-04-07;G;Varennes, v;4;;68;381;91;3;23;70;48;235;8;
249;Verchères;2014-04-07;G;Varennes, v;4;;69;397;88;5;26;79;35;233;6;
249;Verchères;2014-04-07;G;Varennes, v;4;;70;364;79;5;11;57;30;182;5;
249;Verchères;2014-04-07;G;Varennes, v;4;;71;393;49;0;10;79;75;213;4;
249;Verchères;2014-04-07;G;Varennes, v;4;;72;384;83;2;11;99;54;249;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;1;;73;398;78;3;17;85;54;237;0;
249;Verchères;2014-04-07;G;Sainte-Julie, v;1;;74;393;114;1;28;72;54;269;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;1;;75;402;83;0;17;76;93;269;1;
249;Verchères;2014-04-07;G;Sainte-Julie, v;1;;76;396;106;3;18;86;49;262;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;1;;77;409;64;4;19;77;50;214;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;1;;78;400;79;4;12;93;34;222;2;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;79;360;71;0;12;65;28;176;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;Regr. BVO-79;80;0;0;0;0;0;0;0;0;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;Regr. BVO-83;81;0;0;0;0;0;0;0;0;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;Regr. BVO-84;82;0;0;0;0;0;0;0;0;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;83;610;63;1;26;68;50;208;2;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;84;563;61;0;11;56;40;168;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;85;334;72;0;18;70;53;213;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;86;341;94;2;11;90;28;225;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;87;326;76;1;18;73;53;221;2;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;88;325;67;1;13;60;56;197;2;
249;Verchères;2014-04-07;G;Sainte-Julie, v;2;;89;339;69;0;14;95;49;227;3;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;90;359;79;0;9;66;35;189;4;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;91;377;99;1;27;70;43;240;5;
249;Verchères;2014-04-07;G;Sainte-Julie, v;3;;92;357;79;3;15;72;40;209;5;
