Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Collin Marie-Claude P.L.Q./Q.L.P.;Desrosiers Gyslaine P.Q.;Fournier Jean Philippe É.A.P. - P.C.Q.;Giguère Annie Q.S.;Laframboise Mario C.A.Q.-É.F.L.;B.V.;B.R.;
473;Blainville;2014-04-07;G;Blainville, v;6;;88;327;45;51;1;19;69;185;6;
473;Blainville;2014-04-07;G;Blainville, v;6;;89;355;62;47;2;17;49;177;3;
473;Blainville;2014-04-07;G;Blainville, v;6;;90;342;59;56;1;10;71;197;9;
473;Blainville;2014-04-07;G;Blainville, v;6;;91;347;78;38;2;7;45;170;3;
473;Blainville;2014-04-07;G;Blainville, v;6;;92;319;55;62;0;20;79;216;6;
473;Blainville;2014-04-07;G;Blainville, v;6;;93;330;28;77;0;18;73;196;9;
473;Blainville;2014-04-07;G;Blainville, v;6;;94;395;73;65;1;15;72;226;6;
473;Blainville;2014-04-07;G;Blainville, v;6;;95;359;49;43;2;24;78;196;8;
473;Blainville;2014-04-07;G;Blainville, v;6;;96;331;53;46;1;18;76;194;4;
473;Blainville;2014-04-07;G;Blainville, v;6;;97A;314;46;46;2;6;68;168;2;
473;Blainville;2014-04-07;G;Blainville, v;6;;97B;295;35;48;1;14;49;147;4;
473;Blainville;2014-04-07;G;Blainville, v;6;;98;322;47;72;1;28;68;216;6;
473;Blainville;2014-04-07;G;Blainville, v;6;;99;337;47;70;3;21;64;205;6;
473;Blainville;2014-04-07;G;Blainville, v;6;;100;286;47;60;0;14;64;185;3;
473;Blainville;2014-04-07;G;Blainville, v;6;;101;357;86;31;0;7;70;194;4;
473;Blainville;2014-04-07;G;Blainville, v;6;;102;319;89;37;1;5;60;192;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;103;320;78;43;1;8;76;206;2;
473;Blainville;2014-04-07;G;Blainville, v;7;;104;312;46;51;1;8;78;184;2;
473;Blainville;2014-04-07;G;Blainville, v;7;;105;350;40;51;3;20;75;189;0;
473;Blainville;2014-04-07;G;Blainville, v;7;;106;375;58;60;2;18;61;199;4;
473;Blainville;2014-04-07;G;Blainville, v;7;;107A;293;28;64;1;6;68;167;3;
473;Blainville;2014-04-07;G;Blainville, v;7;;107B;291;39;42;0;11;67;159;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;108;344;84;42;5;2;80;213;2;
473;Blainville;2014-04-07;G;Blainville, v;7;;109;341;81;32;0;8;83;204;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;110;349;116;25;1;9;87;238;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;111;332;99;30;2;8;71;210;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;112;338;73;37;1;9;80;200;2;
473;Blainville;2014-04-07;G;Blainville, v;7;;113;316;74;26;1;6;73;180;3;
473;Blainville;2014-04-07;G;Blainville, v;7;;114;333;80;31;0;6;79;196;4;
473;Blainville;2014-04-07;G;Blainville, v;7;;115;334;79;37;0;10;87;213;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;116;497;67;53;1;13;68;202;4;
473;Blainville;2014-04-07;G;Blainville, v;7;;117;355;78;45;1;11;63;198;2;
473;Blainville;2014-04-07;G;Blainville, v;7;;118;322;100;16;1;7;56;180;1;
473;Blainville;2014-04-07;G;Blainville, v;7;;119;346;113;16;1;3;66;199;0;
473;Blainville;2014-04-07;G;Blainville, v;7;;120;322;101;28;1;5;70;205;0;
473;Blainville;2014-04-07;G;Blainville, v;8;;121;347;126;22;0;3;72;223;1;
473;Blainville;2014-04-07;G;Blainville, v;8;;122;322;86;42;3;5;84;220;0;
473;Blainville;2014-04-07;G;Blainville, v;8;;123;308;76;19;2;8;82;187;2;
473;Blainville;2014-04-07;G;Blainville, v;8;;124;327;60;47;2;15;82;206;5;
473;Blainville;2014-04-07;G;Blainville, v;8;;125;309;61;38;0;10;78;187;4;
473;Blainville;2014-04-07;G;Blainville, v;8;;126;321;51;71;1;10;60;193;3;
473;Blainville;2014-04-07;G;Blainville, v;8;;127;295;52;38;0;15;53;158;5;
473;Blainville;2014-04-07;G;Blainville, v;8;;128;325;36;48;1;19;78;182;7;
473;Blainville;2014-04-07;G;Blainville, v;8;;129;282;25;36;1;18;56;136;6;
473;Blainville;2014-04-07;G;Blainville, v;8;;130;314;46;54;1;18;56;175;7;
473;Blainville;2014-04-07;G;Blainville, v;8;;131;301;25;64;0;12;56;157;2;
473;Blainville;2014-04-07;G;Blainville, v;8;;132;301;43;61;1;15;64;184;4;
473;Blainville;2014-04-07;G;Blainville, v;8;;133;335;43;58;2;18;78;199;1;
473;Blainville;2014-04-07;G;Blainville, v;8;;134;564;88;42;2;7;77;216;4;
473;Blainville;2014-04-07;G;Lorraine, v;1;;135;305;86;23;0;5;42;156;0;
473;Blainville;2014-04-07;G;Lorraine, v;1;;136;336;82;52;1;11;74;220;2;
473;Blainville;2014-04-07;G;Lorraine, v;1;;137;307;56;42;0;18;70;186;1;
473;Blainville;2014-04-07;G;Lorraine, v;1;;138;330;79;25;0;8;80;192;2;
473;Blainville;2014-04-07;G;Lorraine, v;1;;139;372;98;19;0;4;69;190;4;
473;Blainville;2014-04-07;G;Lorraine, v;1;;140;332;104;21;0;4;58;187;1;
473;Blainville;2014-04-07;G;Lorraine, v;2;;141;308;67;41;2;18;53;181;2;
473;Blainville;2014-04-07;G;Lorraine, v;2;;142;322;56;64;0;14;70;204;4;
473;Blainville;2014-04-07;G;Lorraine, v;2;;143;297;28;51;1;24;65;169;3;
473;Blainville;2014-04-07;G;Lorraine, v;2;;144;319;57;52;1;22;63;195;2;
473;Blainville;2014-04-07;G;Lorraine, v;2;;145;311;42;55;1;17;56;171;7;
473;Blainville;2014-04-07;G;Lorraine, v;2;;146;316;57;39;0;16;50;162;0;
473;Blainville;2014-04-07;G;Lorraine, v;2;;147;315;55;61;1;15;53;185;1;
473;Blainville;2014-04-07;G;Lorraine, v;2;;148;303;66;43;1;10;48;168;2;
473;Blainville;2014-04-07;G;Lorraine, v;2;;149;307;84;40;1;6;61;192;2;
473;Blainville;2014-04-07;G;Lorraine, v;2;;150;300;62;49;1;5;52;169;4;
473;Blainville;2014-04-07;G;Lorraine, v;3;;151;313;72;35;0;8;52;167;0;
473;Blainville;2014-04-07;G;Lorraine, v;3;;152;327;69;51;2;9;55;186;4;
473;Blainville;2014-04-07;G;Lorraine, v;3;;153;346;79;49;2;10;82;222;3;
473;Blainville;2014-04-07;G;Lorraine, v;3;;154;323;84;40;0;12;51;187;1;
473;Blainville;2014-04-07;G;Lorraine, v;3;;155;301;44;39;0;18;58;159;2;
473;Blainville;2014-04-07;G;Lorraine, v;3;;156;312;63;43;0;7;44;157;0;
473;Blainville;2014-04-07;G;Bois-des-Filion, v;1;;157;320;34;56;4;10;54;158;2;
473;Blainville;2014-04-07;G;Bois-des-Filion, v;1;;158;330;43;63;1;12;49;168;5;
473;Blainville;2014-04-07;G;Bois-des-Filion, v;1;;159;321;30;53;8;15;58;164;7;
473;Blainville;2014-04-07;G;Bois-des-Filion, v;1;;160;349;34;71;1;17;57;180;4;
473;Blainville;2014-04-07;G;Bois-des-Filion, v;1;;161;303;35;40;2;11;69;157;5;
473;Blainville;2014-04-07;G;Bois-des-Filion, v;1;;162;412;39;42;1;10;76;168;0;
