Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Davis Jonathan P.N.;Desjardins Martine P.Q.;Emard Vicki P.L.Q./Q.L.P.;Giguère Sylvie Q.S.;Marginean Alain O.N. - P.I.Q.;Surprenant Claude C.A.Q.-É.F.L.;B.V.;B.R.;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;90;306;0;5;77;0;0;1;83;2;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;91;372;0;7;102;0;0;11;120;1;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;92;373;2;59;57;11;2;58;189;3;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;93;309;0;51;36;13;4;70;174;5;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;94;326;2;82;47;11;1;61;204;4;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;95;353;5;47;54;11;1;82;200;3;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;96;309;4;49;54;24;0;66;197;3;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;97;327;4;31;53;10;1;101;200;2;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;98;280;3;41;53;6;2;75;180;3;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;99;293;5;52;33;15;0;69;174;3;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;100;287;1;72;36;18;0;66;193;0;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;101;287;3;43;43;14;2;89;194;3;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;102;299;6;57;29;14;2;56;164;8;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;103;309;0;55;67;13;0;86;221;5;
481;Groulx;2014-04-07;G;Boisbriand, v;2;;104;310;3;42;68;13;2;64;192;1;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;105;301;1;61;38;9;0;61;170;3;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;106;311;4;75;55;10;1;89;234;3;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;107;316;2;55;45;11;4;57;174;4;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;108;325;2;52;31;10;3;71;169;5;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;109;326;5;56;53;12;1;77;204;2;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;110;322;4;62;18;13;1;75;173;4;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;111;342;2;54;56;14;2;98;226;1;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;112;330;1;53;43;17;3;74;191;3;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;113;287;3;49;27;6;1;44;130;1;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;114;303;2;55;34;9;6;72;178;2;
481;Groulx;2014-04-07;G;Boisbriand, v;3;;115;285;3;45;31;7;0;85;171;0;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;116;329;2;50;44;7;6;72;181;2;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;117;310;4;56;32;12;3;74;181;3;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;118;300;2;51;49;16;2;67;187;0;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;119;321;2;39;51;15;2;82;191;5;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;120;309;1;50;27;12;0;65;155;4;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;121;319;1;37;44;12;2;59;155;2;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;122;303;2;37;38;10;1;40;128;3;
481;Groulx;2014-04-07;G;Boisbriand, v;4;;123;321;4;49;68;3;1;46;171;1;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;124;307;3;34;12;11;2;35;97;0;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;125;284;2;33;40;2;2;24;103;3;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;126;304;1;38;44;9;1;61;154;2;
481;Groulx;2014-04-07;G;Boisbriand, v;5;;127;322;3;48;13;12;2;36;114;2;
