Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Gaétan P.L.Q./Q.L.P.;Beaupré Johane Q.S.;Fernandez Sebastian É.A.P. - P.C.Q.;Houda-Pepin Fatima Ind;Kim Jin C.A.Q.-É.F.L.;Létourneau-Prézeau François O.N. - P.I.Q.;B.V.;B.R.;
203;La Pinière;2014-04-07;G;Brossard, v;8;;79;338;72;7;6;39;45;2;171;4;
203;La Pinière;2014-04-07;G;Brossard, v;8;;80;383;100;13;2;49;49;5;218;0;
203;La Pinière;2014-04-07;G;Brossard, v;8;;81;363;83;18;3;48;44;10;206;8;
203;La Pinière;2014-04-07;G;Brossard, v;8;;82;366;90;15;2;54;37;11;209;10;
203;La Pinière;2014-04-07;G;Brossard, v;9;;83;335;96;11;3;46;13;3;172;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;84;364;107;6;0;46;31;2;192;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;85;368;102;14;0;68;25;3;212;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;86;343;99;1;1;36;13;3;153;0;
203;La Pinière;2014-04-07;G;Brossard, v;9;;87;335;83;20;2;27;27;2;161;0;
203;La Pinière;2014-04-07;G;Brossard, v;9;;88;335;95;16;2;52;41;4;210;0;
203;La Pinière;2014-04-07;G;Brossard, v;9;;89;348;118;8;0;41;19;2;188;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;90;322;122;7;3;50;17;3;202;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;91;325;88;7;3;32;22;2;154;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;92;355;122;8;2;48;21;1;202;9;
203;La Pinière;2014-04-07;G;Brossard, v;9;;93;343;106;9;5;62;39;1;222;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;94;372;117;10;2;30;22;1;182;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;95;352;107;10;0;74;33;3;227;9;
203;La Pinière;2014-04-07;G;Brossard, v;9;;96;446;115;8;1;45;40;0;209;5;
203;La Pinière;2014-04-07;G;Brossard, v;9;;97;399;114;14;1;64;33;3;229;4;
203;La Pinière;2014-04-07;G;Brossard, v;9;;98;348;103;12;0;64;28;0;207;4;
203;La Pinière;2014-04-07;G;Brossard, v;9;;99;335;91;13;0;74;27;1;206;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;100;352;108;11;0;64;15;1;199;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;101;323;107;3;0;60;21;5;196;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;102;345;113;14;0;64;30;1;222;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;103;338;107;7;3;41;21;2;181;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;104A;357;84;6;0;50;39;7;186;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;104B;381;87;17;0;42;41;2;189;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;105A;206;45;8;1;24;23;2;103;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;105B;266;71;9;1;28;21;5;135;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;106A;289;144;2;1;19;16;0;182;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;106B;350;115;4;0;27;22;1;169;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;107;396;84;11;2;44;44;2;187;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;108A;272;146;0;0;28;26;0;200;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;108B;275;82;3;1;14;9;1;110;0;
203;La Pinière;2014-04-07;G;Brossard, v;9;;109;350;77;11;2;37;38;1;166;2;
203;La Pinière;2014-04-07;G;Brossard, v;9;;110;356;85;13;0;35;42;4;179;1;
203;La Pinière;2014-04-07;G;Brossard, v;9;;111;339;113;0;0;31;24;0;168;3;
203;La Pinière;2014-04-07;G;Brossard, v;9;;112;374;119;7;1;30;32;1;190;0;
203;La Pinière;2014-04-07;G;Brossard, v;9;;113;345;85;15;0;31;39;0;170;9;
203;La Pinière;2014-04-07;G;Brossard, v;9;;114;348;82;9;1;38;43;5;178;7;
203;La Pinière;2014-04-07;G;Brossard, v;10;;115;389;138;6;1;49;22;2;218;1;
203;La Pinière;2014-04-07;G;Brossard, v;10;;116;403;131;6;1;47;21;2;208;2;
203;La Pinière;2014-04-07;G;Brossard, v;10;;117;370;106;5;0;42;29;1;183;2;
