Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Cyr Guillaume O.N. - P.I.Q.;Domingue Marie Céline Q.S.;Fiset Sylvain P.N.;Fournier Normand P.M.L.Q.;Jovanovic Milan É.A.P. - P.C.Q.;Lachance Daniel P.U.N.;Payette Dominique P.Q.;Trudel Denise C.A.Q.-É.F.L.;B.V.;B.R.;
619;Charlesbourg;2014-04-07;G;Québec, v;111;;20;332;45;1;11;3;0;1;0;22;36;119;1;
619;Charlesbourg;2014-04-07;G;Québec, v;111;;21;358;50;1;2;1;0;2;0;27;33;116;3;
619;Charlesbourg;2014-04-07;G;Québec, v;112;;22;364;48;2;9;1;0;4;0;30;66;160;0;
619;Charlesbourg;2014-04-07;G;Québec, v;112;;23;383;54;2;12;2;1;6;0;51;52;180;1;
619;Charlesbourg;2014-04-07;G;Québec, v;112;;24;382;57;1;6;4;0;4;0;31;81;184;0;
619;Charlesbourg;2014-04-07;G;Québec, v;112;;25;374;63;1;11;1;0;0;1;29;40;146;3;
619;Charlesbourg;2014-04-07;G;Québec, v;112;;26;532;59;0;9;1;0;3;2;31;51;156;1;
619;Charlesbourg;2014-04-07;G;Québec, v;112;;27;370;72;3;9;2;0;1;0;39;71;197;2;
619;Charlesbourg;2014-04-07;G;Québec, v;113;;28;407;54;1;8;3;0;7;0;26;69;168;3;
619;Charlesbourg;2014-04-07;G;Québec, v;113;;29;413;65;1;17;1;2;5;0;23;74;188;7;
619;Charlesbourg;2014-04-07;G;Québec, v;113;;30;416;68;2;10;2;1;4;1;29;76;193;6;
619;Charlesbourg;2014-04-07;G;Québec, v;113;;31;400;91;3;22;4;0;0;0;29;93;242;2;
619;Charlesbourg;2014-04-07;G;Québec, v;113;;32;397;88;0;5;2;0;1;0;45;100;241;2;
619;Charlesbourg;2014-04-07;G;Québec, v;114;;33;371;82;3;19;1;0;1;2;31;64;203;2;
619;Charlesbourg;2014-04-07;G;Québec, v;114;;34;384;58;0;14;0;0;1;1;39;57;170;2;
619;Charlesbourg;2014-04-07;G;Québec, v;114;;35;380;63;0;16;3;0;3;0;44;75;204;3;
619;Charlesbourg;2014-04-07;G;Québec, v;114;;36;386;99;2;10;1;0;0;0;37;65;214;4;
619;Charlesbourg;2014-04-07;G;Québec, v;115;;37;391;66;2;11;2;0;2;0;22;61;166;4;
619;Charlesbourg;2014-04-07;G;Québec, v;115;;38;440;78;2;11;0;0;0;0;37;66;194;1;
619;Charlesbourg;2014-04-07;G;Québec, v;115;;39;464;61;2;21;4;0;4;0;26;58;176;2;
619;Charlesbourg;2014-04-07;G;Québec, v;116;;40;339;65;0;6;1;1;3;0;32;68;176;3;
619;Charlesbourg;2014-04-07;G;Québec, v;116;;41;361;65;3;10;5;0;2;0;25;82;192;0;
619;Charlesbourg;2014-04-07;G;Québec, v;116;;42;332;66;3;3;0;0;1;0;28;49;150;4;
619;Charlesbourg;2014-04-07;G;Québec, v;116;;43;389;64;2;6;0;0;1;0;41;58;172;2;
619;Charlesbourg;2014-04-07;G;Québec, v;116;;44;336;77;2;7;1;0;3;0;39;59;188;1;
619;Charlesbourg;2014-04-07;G;Québec, v;116;;45;354;57;0;16;1;0;0;0;33;72;179;2;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;46;533;47;0;16;3;0;1;0;36;59;162;2;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;47;400;79;4;13;3;0;1;0;36;59;195;1;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;48;406;78;0;14;2;1;1;0;39;95;230;3;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;49;401;64;0;21;2;0;3;1;34;96;221;2;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;50;408;72;0;17;2;0;2;0;33;99;225;3;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;51;392;70;0;14;1;0;2;0;51;67;205;3;
619;Charlesbourg;2014-04-07;G;Québec, v;117;;52;406;47;1;14;2;0;2;0;41;70;177;2;
619;Charlesbourg;2014-04-07;G;Québec, v;118;;53;364;63;0;13;4;0;4;0;28;53;165;3;
619;Charlesbourg;2014-04-07;G;Québec, v;118;;54A;239;65;1;2;2;0;1;0;11;65;147;0;
619;Charlesbourg;2014-04-07;G;Québec, v;118;;54B;197;26;2;3;0;0;1;0;19;30;81;0;
619;Charlesbourg;2014-04-07;G;Québec, v;118;;55;373;99;2;14;2;0;1;0;36;74;228;1;
619;Charlesbourg;2014-04-07;G;Québec, v;118;;56;364;82;1;4;2;0;1;1;45;68;204;5;
619;Charlesbourg;2014-04-07;G;Québec, v;118;;57;358;94;1;3;0;0;3;0;31;62;194;2;
619;Charlesbourg;2014-04-07;G;Québec, v;119;;58;418;81;3;11;2;0;4;0;23;98;222;2;
619;Charlesbourg;2014-04-07;G;Québec, v;119;;59;389;79;2;7;2;0;1;0;23;68;182;1;
619;Charlesbourg;2014-04-07;G;Québec, v;119;;60;387;70;3;8;4;1;1;0;37;79;203;0;
619;Charlesbourg;2014-04-07;G;Québec, v;119;;61;397;71;1;9;3;0;2;0;33;68;187;1;
619;Charlesbourg;2014-04-07;G;Québec, v;119;;62;406;75;0;4;2;0;2;0;28;95;206;4;
