Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andrews Jeremy P.V.Q./G.P.Q.;Campbell Jean-Simon O.N. - P.I.Q.;Cardin Serge P.Q.;Drogue François É.A.P. - P.C.Q.;Fortin Luc P.L.Q./Q.L.P.;Girard Philippe C.A.Q.-É.F.L.;Pigot Hélène Q.S.;Richard Hubert Ind;Roy Jossy B.P.;B.V.;B.R.;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;42;340;1;3;76;0;42;28;53;0;0;203;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;43;377;3;2;74;1;31;24;54;0;0;189;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;44;530;4;1;61;0;65;26;35;0;1;193;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;13;;45;404;5;4;70;1;63;46;35;0;0;224;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;13;;46;405;10;3;76;1;44;32;56;1;2;225;5;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;13;;47;383;2;2;60;1;63;40;38;0;1;207;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;13;;48;425;3;2;81;0;45;20;48;0;1;200;7;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;49;378;4;3;68;0;54;18;67;0;1;215;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;50;579;3;3;61;1;46;39;57;0;1;211;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;51;493;2;2;72;0;46;21;51;0;0;194;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;52A;255;4;5;35;0;23;12;24;0;1;104;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;52B;170;1;0;24;0;12;5;28;0;0;70;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;53;409;3;2;43;0;30;21;34;2;0;135;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;14;;54;367;0;2;44;1;36;14;23;1;0;121;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;15;;55;413;5;1;66;0;36;46;64;0;1;219;8;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;15;;56;392;5;0;62;0;45;32;66;2;2;214;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;15;;57;388;3;0;77;1;63;26;46;0;1;217;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;15;;58;556;2;2;58;0;51;36;23;0;1;173;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;59;398;2;1;54;0;48;30;39;0;0;174;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;60;399;2;1;72;0;68;30;14;0;1;188;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;61;369;1;0;52;0;49;37;19;0;1;159;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;62;398;2;7;60;1;88;61;18;0;0;237;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;63A;247;1;2;53;0;47;45;16;0;0;164;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;63B;214;0;2;32;0;34;43;17;0;0;128;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;64A;235;0;2;28;2;29;29;16;0;1;107;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;16;;64B;205;0;0;32;0;35;27;7;0;0;101;2;
