Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cavaliere Domenico C.A.Q.-É.F.L.;da Silva Pereira André Q.S.;Forget Bruno O.N. - P.I.Q.;Habel Jean P.L.Q./Q.L.P.;Proulx Suzanne P.Q.;B.V.;B.R.;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;76;383;63;23;2;88;52;228;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;77;390;88;13;2;92;34;229;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;78;395;78;16;1;62;53;210;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;79;359;41;15;2;60;91;209;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;80;361;66;13;3;55;71;208;8;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;81;361;74;24;0;62;69;229;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;82;346;62;10;2;88;60;222;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;83;367;58;23;2;83;71;237;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;84;354;77;15;2;66;61;221;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;85;368;62;14;1;48;74;199;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;86;350;64;11;0;57;59;191;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;56;;87;371;57;18;2;88;54;219;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;88;363;50;4;0;78;52;184;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;89;370;63;23;2;66;61;215;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;90;374;48;12;2;79;74;215;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;91;371;51;18;1;71;57;198;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;92;378;58;22;1;96;44;221;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;93;369;57;24;2;98;73;254;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;94;365;54;7;0;101;60;222;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;95;395;51;5;2;165;45;268;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;96;374;42;10;2;180;27;261;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;97;387;38;5;2;209;14;268;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;98;380;74;8;1;112;61;256;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;99;384;66;15;1;90;74;246;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;57;;100;366;43;7;1;152;45;248;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;101;377;52;13;1;83;78;227;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;102;365;57;20;0;85;50;212;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;103;352;67;16;2;46;66;197;7;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;104;377;67;13;2;55;65;202;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;105;355;46;15;2;58;58;179;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;106;845;72;20;0;69;83;244;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;58;;107;363;43;17;2;55;68;185;3;
