Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;53;277;2;0;0;0;33;21;26;0;3;85;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;54;294;0;2;1;1;35;21;32;0;3;95;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;55;300;0;0;1;0;46;28;26;1;10;112;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;56;302;0;0;0;0;48;41;25;1;5;120;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;57;345;0;0;2;1;54;36;31;1;17;142;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;58;312;2;0;1;0;59;34;42;3;22;163;6;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;59;291;0;0;1;1;60;36;33;2;11;144;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;60;304;1;1;1;0;58;35;46;2;7;151;10;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;61;320;4;0;0;0;79;47;35;0;12;177;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;62;299;0;0;1;0;55;44;34;0;13;147;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;63;293;5;1;1;0;30;49;47;0;12;145;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;64;299;5;2;0;1;64;33;43;1;5;154;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;65A;211;0;0;0;0;37;33;39;0;9;118;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;65B;225;1;0;0;0;41;37;32;1;10;122;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;9;;66;301;1;0;0;0;76;35;41;0;20;173;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;10;;67;314;0;0;3;1;79;46;24;0;9;162;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;10;;68;322;1;0;1;2;49;26;22;1;14;116;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;10;;69;333;2;0;1;0;65;29;31;0;20;148;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;10;;70;338;2;1;2;1;67;38;37;0;14;162;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;10;;71;316;1;0;2;0;50;34;34;0;14;135;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;10;;72;312;0;0;1;0;41;24;24;0;5;95;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;11;;73;310;1;1;1;0;46;22;16;5;9;101;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;11;;74;325;2;0;1;0;62;38;44;0;24;171;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;11;;75;348;4;0;2;0;50;35;52;0;11;154;2;
