Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Sébastien Q.S.;Breton José Ind;Châteauvert Pierre P.Q.;Drolet André P.L.Q./Q.L.P.;Dumais Sébastien P.N.;Foster Émilie C.A.Q.-É.F.L.;Garcia Andrés É.A.P. - P.C.Q.;Moreau Claude P.M.L.Q.;Zanetti Sol O.N. - P.I.Q.;B.V.;B.R.;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;116;289;9;1;26;42;2;46;1;0;2;129;7;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;117;312;6;0;19;49;2;36;1;0;0;113;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;118;281;12;0;22;38;3;29;0;0;4;108;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;119;455;15;0;27;52;1;90;3;0;1;189;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;74;;120A;347;10;0;16;46;2;51;0;0;3;128;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;74;Regr. BVDS-1;120B;264;0;0;0;0;0;0;0;0;0;0;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;74;;121;509;6;0;35;52;2;37;2;0;1;135;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;74;;122;469;7;0;28;50;0;29;0;0;0;114;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;74;;123;622;6;0;16;51;2;47;0;0;2;124;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;74;;124;483;7;0;22;48;2;59;2;0;1;141;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;125;304;7;1;31;60;1;61;2;0;0;163;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;126;282;6;0;26;45;2;42;0;0;1;122;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;127;303;6;0;17;67;0;32;0;0;0;122;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;128;333;4;1;23;55;0;46;1;0;0;130;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;129;318;6;0;26;59;1;60;0;0;1;153;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;130;305;2;0;26;69;0;51;0;0;2;150;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;131;284;9;1;34;48;4;46;3;0;1;146;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;132;397;11;0;29;77;1;69;2;0;3;192;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;133;310;10;1;20;45;1;43;3;0;2;125;7;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;134;299;25;0;31;45;2;37;2;0;3;145;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;135;361;12;0;35;63;3;46;0;0;1;160;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;75;;136;346;15;0;38;68;0;71;1;1;2;196;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;76;;137;282;8;0;27;35;2;63;3;0;3;141;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;76;;138;296;6;0;33;81;0;61;0;1;2;184;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;76;;139;377;1;0;0;41;0;1;0;0;0;43;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;76;;140;305;6;0;37;77;1;69;0;0;1;191;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;76;;141;280;11;0;23;70;1;59;1;0;1;166;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;Regr. BVO-18;500;0;0;0;0;0;0;0;0;0;0;0;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;53;Regr. BVO-24;501;0;0;0;0;0;0;0;0;0;0;0;0;
