Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cousineau Claude P.Q.;Dubé Patrick P.N.;Leblond Isabelle P.L.Q./Q.L.P.;Massicotte Diane O.N. - P.I.Q.;Mayer Lucie Q.S.;Milot Robert C.A.Q.-É.F.L.;Roy Mario Ind;B.V.;B.R.;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;70;328;71;4;38;2;14;47;0;176;1;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;71;279;44;0;14;0;19;55;0;132;0;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;72;288;63;1;26;0;18;34;0;142;3;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;73;339;62;2;35;1;27;32;4;163;0;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;74;313;56;1;31;1;25;40;2;156;3;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;75;339;58;1;39;1;27;47;0;173;3;
525;Bertrand;2014-04-07;G;Val-Morin, m;1;;76;299;66;2;21;0;24;33;1;147;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;77;320;65;0;36;1;9;42;0;153;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;78;316;44;7;36;1;7;60;0;155;0;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;79;352;46;4;34;0;7;44;1;136;5;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;80;319;52;1;33;1;12;63;1;163;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;81;335;50;1;32;2;16;49;0;150;1;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;82;327;47;0;38;2;17;60;0;164;0;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;83;342;46;3;31;1;10;53;3;147;4;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;84;300;58;2;40;6;0;35;0;141;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;85;339;49;0;24;0;17;23;1;114;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;86;308;47;0;25;2;9;30;0;113;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;87;298;37;1;23;3;9;28;0;101;0;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;88;310;43;2;29;0;14;34;0;122;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;1;;89;303;30;0;34;0;6;49;1;120;3;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;90;354;59;1;44;0;13;63;0;180;0;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;91;329;44;2;37;2;9;49;0;143;1;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;92;324;38;3;36;0;5;42;1;125;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;93;308;33;1;36;0;9;50;1;130;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;94;340;36;0;25;1;17;45;0;124;1;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;95;291;37;2;22;0;11;34;0;106;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;96;334;36;1;25;0;13;41;0;116;0;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;97;321;64;2;44;2;20;55;0;187;6;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;2;;98;337;50;2;41;2;24;44;1;164;2;
525;Bertrand;2014-04-07;G;Sainte-Adèle, v;3;;99;314;67;0;20;1;13;40;0;141;3;
