Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Nadia Q.S.;Cadieux Denis M.P.Q.;de la Sablonnière Luc C.A.Q.-É.F.L.;Grégoire-Gauthier Annie O.N. - P.I.Q.;Leblanc Rodrigue Ind;Lessard Laurent P.L.Q./Q.L.P.;Mathieu Kaven P.Q.;Rancourt Sylvain É.A.P. - P.C.Q.;B.V.;B.R.;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;32;353;1;0;43;0;0;89;35;1;169;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;33;362;7;0;64;2;0;87;32;1;193;5;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;34;415;8;0;53;1;2;83;41;0;188;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;35;359;10;0;49;1;1;69;51;1;182;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;36;399;11;0;70;2;0;115;31;0;229;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;37;366;7;0;52;1;0;110;33;2;205;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;38;352;6;0;40;0;0;98;37;0;181;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;39;381;13;3;45;0;0;90;33;2;186;6;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;40;391;9;0;46;1;0;85;33;2;176;4;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;41;384;8;0;52;0;0;83;40;2;185;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;42;371;2;2;45;1;0;73;30;2;155;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;43;413;7;0;45;1;0;83;24;4;164;4;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;44;412;5;0;63;0;0;110;32;1;211;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;45;368;6;2;57;0;1;83;29;0;178;7;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;46;370;8;0;48;1;1;66;51;0;175;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;47;784;5;0;45;1;3;79;22;1;156;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;6;;48;396;2;0;56;0;0;81;31;1;171;0;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;7;;49;330;4;0;38;0;0;84;18;2;146;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;7;;50;332;10;0;64;0;0;84;49;0;207;0;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;7;;51;354;6;0;73;1;0;112;29;2;223;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;7;;52;336;1;0;49;0;0;88;31;1;170;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;7;;53;334;2;0;38;0;2;71;23;2;138;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;7;;54;318;5;0;47;0;0;66;31;0;149;5;
289;Lotbinière-Frontenac;2014-04-07;G;Saint-Pierre-de-Broughton, m;1;;55;326;8;0;47;1;0;107;36;4;203;1;
