Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Olivier Q.S.;Cloutier Benoit É.A.P. - P.C.Q.;Gagné Dave P.S.P.;Lévesque-Morin Alexis O.N. - P.I.Q.;Paré Catherine P.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;67;269;7;4;0;0;26;66;51;154;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;68;346;7;4;1;1;13;119;58;203;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;69;276;6;3;1;3;28;70;49;160;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;70;268;6;4;2;0;20;53;44;129;2;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;71;277;11;3;0;1;20;86;47;168;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;72;278;11;2;0;0;18;84;43;158;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;73;273;10;0;4;1;20;79;48;162;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;74;286;6;0;3;1;14;92;35;151;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;7;;75;292;6;0;0;2;14;70;45;137;4;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;76;314;13;0;1;0;25;91;52;182;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;77;248;7;5;1;0;24;43;48;128;1;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;78;239;4;0;1;1;39;47;50;142;0;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;79;282;2;0;1;3;24;68;64;162;5;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;80;302;8;1;0;3;16;48;84;160;5;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;81;292;7;2;3;0;22;90;38;162;3;
659;Chutes-de-la-Chaudière;2014-04-07;G;Lévis, v;8;;82;314;7;2;0;0;24;94;71;198;1;
