Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boily Étienne O.N. - P.I.Q.;Boyer Jean-Marc Ind;Demers Andréanne P.V.Q./G.P.Q.;Dydzak Joseph C.A.Q.-É.F.L.;Moran Janina Q.S.;Poirier Jean P.Q.;Robert Alain É.A.P. - P.C.Q.;Rousselle Jean P.L.Q./Q.L.P.;B.V.;B.R.;
449;Vimont;2014-04-07;G;Laval, v;69;;43;391;1;0;2;36;19;48;3;103;212;3;
449;Vimont;2014-04-07;G;Laval, v;69;;44;395;1;1;0;42;18;65;2;90;219;2;
449;Vimont;2014-04-07;G;Laval, v;69;;45;409;5;0;2;34;11;66;0;69;187;5;
449;Vimont;2014-04-07;G;Laval, v;69;;46;381;3;0;2;35;11;35;0;128;214;1;
449;Vimont;2014-04-07;G;Laval, v;69;;47;390;0;0;5;43;8;49;2;119;226;4;
449;Vimont;2014-04-07;G;Laval, v;69;;48;394;1;0;1;25;11;23;1;186;248;2;
449;Vimont;2014-04-07;G;Laval, v;69;;49;506;1;2;3;27;5;26;1;172;237;3;
449;Vimont;2014-04-07;G;Laval, v;69;;50;398;0;0;6;55;6;34;1;156;258;3;
449;Vimont;2014-04-07;G;Laval, v;69;;51;400;0;0;2;39;5;31;1;164;242;4;
449;Vimont;2014-04-07;G;Laval, v;69;;52;381;1;1;0;32;2;16;1;176;229;1;
449;Vimont;2014-04-07;G;Laval, v;69;;53;392;1;0;1;44;3;15;0;167;231;0;
449;Vimont;2014-04-07;G;Laval, v;69;;54;396;1;1;0;21;1;11;0;240;275;0;
449;Vimont;2014-04-07;G;Laval, v;69;;55;397;0;0;0;36;1;7;1;205;250;0;
449;Vimont;2014-04-07;G;Laval, v;69;;56;388;4;0;3;41;11;50;0;156;265;1;
449;Vimont;2014-04-07;G;Laval, v;69;;57;394;1;0;3;39;14;27;0;186;270;0;
449;Vimont;2014-04-07;G;Laval, v;69;;58;402;5;1;0;35;3;23;0;162;229;2;
449;Vimont;2014-04-07;G;Laval, v;70;;59;353;2;0;7;55;17;73;1;94;249;5;
449;Vimont;2014-04-07;G;Laval, v;70;;60;354;1;0;2;56;8;82;0;79;228;3;
449;Vimont;2014-04-07;G;Laval, v;70;;61;367;1;0;0;47;12;58;2;102;222;5;
449;Vimont;2014-04-07;G;Laval, v;70;;62;353;1;0;0;65;15;64;0;68;213;2;
449;Vimont;2014-04-07;G;Laval, v;70;;63;345;4;3;4;54;5;38;0;106;214;3;
449;Vimont;2014-04-07;G;Laval, v;71;;64;367;0;2;5;56;11;43;0;105;222;2;
