Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charbonneau Patrice C.A.Q.-É.F.L.;Dubois Armand P.L.Q./Q.L.P.;Lemay-Thivierge Vincent Q.S.;Morin Bruno É.A.P. - P.C.Q.;Péladeau Pierre Karl P.Q.;Trottier-Kavanagh Mathieu O.N. - P.I.Q.;B.V.;B.R.;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;72;334;67;33;19;1;61;0;181;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;73;337;65;18;23;0;49;1;156;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;74;368;80;33;19;1;63;0;196;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;75;354;69;29;11;2;63;0;174;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;76;351;76;19;21;4;56;0;176;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;77;342;68;21;21;1;50;0;161;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;10;;78;354;79;25;24;3;60;1;192;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;79;336;66;18;28;1;60;0;173;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;80;337;65;21;25;1;53;0;165;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;81;331;63;26;21;0;45;0;155;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;82;360;43;30;25;0;54;2;154;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;83;415;98;30;22;0;66;3;219;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;84;302;50;27;11;0;52;0;140;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;85;345;59;17;11;1;54;2;144;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;86;316;54;21;23;0;54;1;153;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;87;382;59;34;19;0;63;0;175;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;88;350;75;33;22;1;48;0;179;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;89;297;46;45;18;1;52;0;162;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;90;312;71;9;18;0;47;0;145;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;91;297;53;13;18;0;50;1;135;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;92;315;56;16;16;1;53;1;143;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;11;;93;289;37;15;18;1;49;1;121;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;12;;94;340;37;20;7;0;48;2;114;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;12;;95;312;40;23;15;1;32;0;111;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;12;;96;318;40;24;7;1;56;1;129;8;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;12;;97;332;43;36;23;0;53;3;158;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;12;;98;449;36;19;18;0;44;0;117;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;12;;99;328;48;23;13;0;56;3;143;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;13;;100;318;32;26;11;0;45;1;115;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;13;;101;320;24;24;10;0;36;0;94;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;13;;102;341;27;33;18;0;36;2;116;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;13;;103;338;33;9;10;0;55;1;108;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;13;;104;307;34;27;16;0;52;0;129;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;105A;232;41;27;11;0;37;2;118;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;105B;387;16;23;13;1;28;0;81;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;106;492;45;34;25;1;63;2;170;5;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;107;298;31;18;4;1;62;0;116;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;108;316;54;23;18;0;61;0;156;4;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;109;369;64;39;24;1;77;0;205;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;110;288;43;20;38;0;58;1;160;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;111;408;61;35;12;2;66;0;176;6;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;112;370;18;15;11;0;27;0;71;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;113;304;31;20;24;0;36;2;113;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;114;280;31;14;25;1;36;0;107;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;14;;115;265;28;23;11;1;39;3;105;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;15;;116;310;46;24;23;1;50;1;145;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;15;;117A;218;37;28;18;0;33;0;116;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;15;;117B;308;65;40;18;0;58;1;182;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;15;;118;302;60;19;19;0;55;0;153;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;15;;119;290;39;20;27;0;44;1;131;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;15;;120;299;33;26;12;0;49;0;120;2;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;16;;121;285;34;22;15;0;47;0;118;3;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;16;;122;307;42;9;18;0;31;3;103;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;16;;123;342;18;20;20;1;29;2;90;1;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;16;;124;321;13;18;12;0;39;2;84;0;
505;Saint-Jérôme;2014-04-07;G;Saint-Jérôme, v;17;;125;323;26;11;15;1;37;2;92;2;
