Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourgeois Guy P.L.Q./Q.L.P.;Dufour Valérie Q.S.;Larouche Élizabeth P.Q.;Martel Sylvain C.A.Q.-É.F.L.;Perron-Tellier Maxym É.A.P. - P.C.Q.;Trudel Richard O.N. - P.I.Q.;B.V.;B.R.;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;6;;44;312;59;15;51;22;4;2;153;6;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;6;;45;328;49;15;53;28;2;0;147;9;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;6;;46;292;51;8;38;34;1;3;135;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;6;;47;353;46;10;32;34;2;1;125;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;6;;48;294;50;12;39;28;1;2;132;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;49;296;63;5;52;19;0;0;139;7;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;50;274;46;7;44;20;2;4;123;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;51;282;44;6;36;27;5;2;120;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;52;300;68;8;37;32;0;1;146;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;53;353;65;12;40;47;2;3;169;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;54;303;62;10;37;31;1;0;141;6;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;55;389;93;15;57;44;2;0;211;7;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;56;372;92;18;40;36;5;1;192;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;57;380;72;10;48;35;1;1;167;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;58;277;57;4;32;31;0;2;126;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;59;261;49;6;40;31;0;1;127;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;60;307;50;6;52;35;3;1;147;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;61;255;61;2;23;30;2;2;120;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;62;318;55;16;49;25;2;1;148;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;63;268;49;7;38;24;1;0;119;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;7;;64;288;63;14;40;21;4;3;145;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;65;264;65;8;36;30;1;1;141;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;66;291;45;2;25;24;0;0;96;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;67;240;53;9;36;28;0;2;128;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;68;279;43;8;35;21;1;0;108;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;69A;187;26;4;9;14;1;1;55;1;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;69B;244;30;11;37;14;2;2;96;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;70;302;26;7;19;13;1;3;69;5;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;71;260;30;5;29;26;1;3;94;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;Regr. BVO-74;72;0;0;0;0;0;0;0;0;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;73;262;47;11;35;13;0;0;106;9;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;74;288;38;13;31;19;0;2;103;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;8;;75;239;36;14;42;18;0;0;110;2;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;76;307;38;9;31;26;0;0;104;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;77;255;28;10;28;19;0;2;87;0;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;78;305;48;16;63;21;1;0;149;3;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;79;265;42;10;43;15;3;1;114;4;
579;Abitibi-Est;2014-04-07;G;Val-d'Or, v;9;;80;285;55;14;39;17;1;3;129;8;
