Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Jonathan O.N. - P.I.Q.;Gagné Christine P.N.;Iraca Alexandre P.L.Q./Q.L.P.;Langelier René C.A.Q.-É.F.L.;Primeau Jean-Francois P.Q.;Sarazin Marc Q.S.;B.V.;B.R.;
553;Papineau;2014-04-07;G;Gatineau, v;50;;48;309;2;3;57;33;41;12;148;3;
553;Papineau;2014-04-07;G;Gatineau, v;50;;49A;327;0;2;88;37;10;8;145;2;
553;Papineau;2014-04-07;G;Gatineau, v;50;;49B;413;1;1;69;31;37;15;154;3;
553;Papineau;2014-04-07;G;Gatineau, v;50;;50;280;0;1;86;22;24;6;139;0;
553;Papineau;2014-04-07;G;Gatineau, v;51;;51A;214;0;2;41;17;19;9;88;0;
553;Papineau;2014-04-07;G;Gatineau, v;51;;51B;214;0;1;35;22;21;10;89;0;
553;Papineau;2014-04-07;G;Gatineau, v;51;;52;276;0;2;72;18;29;8;129;1;
553;Papineau;2014-04-07;G;Gatineau, v;51;;53;297;1;4;47;16;25;1;94;5;
553;Papineau;2014-04-07;G;Gatineau, v;51;;54A;254;1;0;52;28;25;9;115;3;
553;Papineau;2014-04-07;G;Gatineau, v;51;;54B;194;0;1;27;15;10;5;58;1;
553;Papineau;2014-04-07;G;Gatineau, v;51;;55;324;1;4;74;27;45;12;163;6;
553;Papineau;2014-04-07;G;Gatineau, v;51;;56;289;0;4;72;30;21;7;134;2;
553;Papineau;2014-04-07;G;Gatineau, v;51;;57;300;0;0;84;20;23;13;140;8;
553;Papineau;2014-04-07;G;Gatineau, v;51;;58;303;1;2;77;32;40;4;156;3;
553;Papineau;2014-04-07;G;Gatineau, v;51;;59;268;2;2;54;28;43;12;141;2;
553;Papineau;2014-04-07;G;Gatineau, v;51;;60;289;0;3;80;18;42;5;148;2;
553;Papineau;2014-04-07;G;Gatineau, v;51;;61;353;1;5;89;29;45;9;178;0;
553;Papineau;2014-04-07;G;Gatineau, v;51;;62;362;0;6;120;29;52;7;214;0;
553;Papineau;2014-04-07;G;Gatineau, v;51;;63;342;0;2;121;28;36;9;196;5;
553;Papineau;2014-04-07;G;Gatineau, v;51;;64;326;0;2;65;26;32;17;142;2;
553;Papineau;2014-04-07;G;Gatineau, v;51;;65A;231;0;6;35;22;21;4;88;4;
553;Papineau;2014-04-07;G;Gatineau, v;51;;65B;202;1;0;47;13;24;11;96;2;
553;Papineau;2014-04-07;G;Gatineau, v;52;;66;275;0;3;44;32;24;17;120;1;
553;Papineau;2014-04-07;G;Gatineau, v;52;;67;298;2;3;69;18;39;11;142;3;
553;Papineau;2014-04-07;G;Gatineau, v;52;;68;319;0;2;86;19;15;7;129;1;
553;Papineau;2014-04-07;G;Gatineau, v;52;;69;303;1;2;72;23;37;7;142;1;
553;Papineau;2014-04-07;G;Gatineau, v;52;;70;314;0;1;94;25;40;6;166;2;
553;Papineau;2014-04-07;G;Gatineau, v;52;;71;288;1;1;54;26;34;10;126;0;
553;Papineau;2014-04-07;G;Gatineau, v;52;;72;357;1;2;81;29;41;11;165;3;
553;Papineau;2014-04-07;G;Gatineau, v;52;;73;419;1;1;114;38;48;15;217;5;
