Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bolduc Vincent C.A.Q.-É.F.L.;Bureau-Blouin Léo P.Q.;Chatel-Launay Nicolas Q.S.;McKenna Léo P.V.Q./G.P.Q.;Polo Saul P.L.Q./Q.L.P.;Voyer David O.N. - P.I.Q.;B.V.;B.R.;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;61;402;54;102;11;3;34;4;208;7;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;62;387;38;83;9;6;63;5;204;9;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;45;;63;386;38;65;11;4;87;1;206;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;64;398;25;44;6;1;171;1;248;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;65;366;33;59;9;3;77;2;183;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;66;377;41;56;8;3;108;1;217;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;67;412;34;63;5;7;92;1;202;12;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;68;415;37;66;20;3;108;3;237;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;69;388;34;69;9;3;121;0;236;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;70;370;32;49;10;7;133;0;231;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;46;;71;391;42;37;11;4;128;0;222;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;72;377;20;43;7;4;76;1;151;16;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;73;342;23;60;16;2;87;1;189;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;74;362;29;51;9;0;96;1;186;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;75;373;38;47;8;4;93;0;190;7;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;76;510;22;56;11;1;92;1;183;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;77;593;34;58;7;1;73;0;173;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;78;394;22;50;21;2;60;0;155;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;47;;79;407;27;63;13;3;105;1;212;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;80;362;22;40;5;2;138;1;208;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;81;381;25;53;17;0;67;1;163;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;82;390;35;69;12;2;40;1;159;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;83;405;44;69;8;6;42;0;169;3;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;84;399;45;66;12;3;96;0;222;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;85;381;22;38;8;2;105;0;175;6;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;86;369;33;57;11;3;69;0;173;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;48;;87;386;30;94;22;6;60;1;213;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;88;407;31;83;20;9;58;6;207;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;89;397;30;55;22;4;67;0;178;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;90;379;39;90;23;6;58;0;216;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;91;389;45;68;4;3;84;0;204;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;92;369;37;56;13;1;94;0;201;0;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;93;352;30;55;15;2;91;1;194;2;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;94;378;39;69;12;5;97;0;222;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;49;;95;366;39;75;10;1;83;2;210;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;96;406;41;74;9;1;86;0;211;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;97;417;39;63;11;6;85;3;207;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;98;388;36;69;18;3;59;0;185;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;99;423;41;80;20;7;59;2;209;1;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;100;384;39;65;35;4;70;1;214;5;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;101;372;38;63;13;2;94;4;214;4;
439;Laval-des-Rapides;2014-04-07;G;Laval, v;50;;102;411;38;66;12;1;51;2;170;7;
