Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchette Luc P.L.Q./Q.L.P.;Chapadeau Gilles P.Q.;Dallaire Ghislain O.N. - P.I.Q.;Flebus Bernard C.A.Q.-É.F.L.;Leclerc Guy Q.S.;B.V.;B.R.;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;135;258;43;59;0;17;25;144;9;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;136;284;42;50;0;19;46;157;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;137;324;47;42;1;21;30;141;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;15;;138;226;41;32;0;20;19;112;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;139;294;43;43;2;21;31;140;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;140;350;44;50;5;27;30;156;3;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;141;314;48;42;3;28;16;137;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;142;260;33;35;3;31;10;112;4;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;143;408;84;75;3;36;18;216;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;144A;278;34;60;1;14;10;119;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;144B;163;31;25;0;26;14;96;1;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;145;337;53;62;1;31;22;169;2;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;146;347;52;54;5;30;23;164;7;
567;Rouyn-Noranda-Témiscamingue;2014-04-07;G;Rouyn-Noranda, v;16;;147;320;62;64;0;42;11;179;3;
