Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dean Marc P.Q.;Fillion Mathieu O.N. - P.I.Q.;Huot Patrick P.L.Q./Q.L.P.;Lévesque Sylvain C.A.Q.-É.F.L.;Martin Jean-Alex É.A.P. - P.C.Q.;Voisine Monique Q.S.;B.V.;B.R.;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;54A;384;36;0;68;83;5;4;196;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;54B;340;16;1;60;64;6;9;156;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;54C;320;19;0;70;65;6;6;166;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;55;304;12;2;66;61;2;4;147;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;85;;56;307;11;1;118;47;1;4;182;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;57;306;18;1;58;63;3;2;145;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;58;292;16;0;76;72;4;5;173;6;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;59;290;19;2;52;69;2;4;148;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;60;297;20;1;66;65;2;6;160;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;61;297;21;2;85;61;3;9;181;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;62;279;20;3;66;57;0;5;151;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;63;285;24;0;57;73;0;6;160;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;64;302;25;1;81;67;2;8;184;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;65;265;21;1;58;45;2;3;130;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;66;290;24;0;71;54;4;1;154;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;67;279;20;2;51;44;0;3;120;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;68;287;26;5;45;64;4;4;148;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;69;287;19;1;59;46;2;4;131;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;70;289;28;2;58;73;1;9;171;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;71;276;26;0;52;61;1;15;155;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;86;;72;288;23;5;49;60;1;3;141;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;73;560;17;3;62;58;4;16;160;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;74;336;19;1;58;84;1;3;166;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;75;289;21;1;50;59;0;13;144;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;76;307;17;1;40;88;3;11;160;6;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;77;289;18;1;36;47;6;11;119;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;78;256;19;1;44;54;2;9;129;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;79;296;20;5;42;70;2;11;150;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;80;315;29;2;48;85;4;12;180;6;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;81;296;25;1;51;59;3;9;148;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;82;273;21;2;56;55;4;12;150;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;83;294;29;2;56;75;1;13;176;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;84;301;25;2;56;62;2;8;155;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;85;643;25;1;60;63;0;15;164;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;86;359;24;2;53;64;5;10;158;6;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;87;;87;275;21;2;42;43;4;10;122;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;88;313;25;4;62;94;0;11;196;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;89;292;19;0;72;52;2;16;161;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;90;284;32;0;56;76;0;3;167;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;91;274;20;1;57;72;1;5;156;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;92;298;30;2;44;63;4;4;147;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;93;366;15;0;45;62;1;8;131;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;94;309;32;3;55;57;4;10;161;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;95;288;26;1;37;63;0;5;132;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;96;282;25;3;37;72;3;11;151;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;97;292;23;1;61;99;3;5;192;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;98;294;20;1;46;72;1;7;147;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;99;280;38;0;30;69;1;6;144;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;100;296;12;5;51;73;3;12;156;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;101;276;28;2;54;44;2;12;142;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;102;276;27;0;58;40;3;5;133;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;103;273;14;0;30;65;1;9;119;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;88;;104;274;22;2;68;49;0;9;150;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;105;304;20;1;53;70;2;12;158;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;106;315;18;2;61;63;4;10;158;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;107;323;28;5;67;80;2;8;190;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;108;310;24;2;67;62;0;19;174;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;109;317;35;0;64;79;1;12;191;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;110;300;21;1;66;81;2;12;183;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;111;302;26;4;64;78;2;15;189;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;112;321;31;1;70;67;3;8;180;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;113;314;29;4;73;67;1;7;181;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;114;549;26;6;58;62;0;18;170;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;115;332;22;2;49;48;1;11;133;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;116;309;30;1;43;56;4;9;143;4;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;117;323;21;4;50;59;3;14;151;7;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;118;298;28;5;32;51;1;20;137;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;119;320;27;6;38;51;3;19;144;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;120;315;25;2;54;50;3;7;141;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;121;311;20;3;64;73;0;4;164;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;122;326;31;0;68;90;1;4;194;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;123;292;18;3;58;64;0;10;153;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;89;;124;283;17;0;37;50;3;9;116;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;125;432;18;1;40;71;0;8;138;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;126;297;12;2;61;51;1;4;131;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;127;328;19;2;61;65;6;9;162;5;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;128;294;28;1;46;64;4;14;157;0;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;129;321;23;1;64;83;0;9;180;3;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;130;321;31;0;74;60;1;12;178;2;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;131;302;25;4;83;84;3;6;205;1;
639;Vanier-Les Rivières;2014-04-07;G;Québec, v;90;;132;295;20;3;41;88;3;7;162;3;
