Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belleau Éric O.N. - P.I.Q.;Caire Éric C.A.Q.-É.F.L.;Desgagnés Paule P.Q.;Dion-Garneau Camille É.A.;Gagnon France P.L.Q./Q.L.P.;Jobin-Lawler Alexandre Q.S.;Pouliot Thomas É.A.P. - P.C.Q.;B.V.;B.R.;
603;La Peltrie;2014-04-07;G;Québec, v;82;;135A;225;4;69;7;1;43;3;0;127;2;
603;La Peltrie;2014-04-07;G;Québec, v;82;;135B;201;0;52;19;0;27;3;3;104;1;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;136;296;1;100;6;0;46;9;1;163;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;137;320;1;105;14;0;57;3;6;186;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;138;304;0;85;23;2;48;9;1;168;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;139A;274;0;87;6;2;63;2;4;164;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;139B;203;1;67;14;0;38;3;0;123;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;140A;233;0;83;8;0;33;2;5;131;0;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;140B;277;0;77;2;1;54;5;5;144;1;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;141;364;1;100;10;1;65;3;6;186;5;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;142A;236;0;63;12;1;37;5;1;119;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;142B;206;0;61;9;0;27;3;4;104;5;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;143;359;0;96;18;2;63;7;5;191;5;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;144;274;0;83;19;1;28;3;3;137;4;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;145;380;4;96;10;3;49;9;4;175;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;146A;231;0;86;7;2;36;1;1;133;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;146B;262;0;93;7;2;40;2;2;146;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;147;295;1;93;14;1;48;2;3;162;0;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;148;338;0;88;16;2;63;9;2;180;0;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;149;397;2;94;22;2;83;2;1;206;2;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;150;300;1;100;19;0;61;6;6;193;1;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;151;308;0;89;22;0;59;10;3;183;1;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;152;365;4;112;22;0;70;11;1;220;4;
