Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cameron Duncan Hart Q.S.;Cauchon Louis-Félix O.N. - P.I.Q.;Charette Benoit C.A.Q.-É.F.L.;Goyer Daniel P.Q.;Leclerc Luc P.L.Q./Q.L.P.;Ware Alec P.Éq.;B.V.;B.R.;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;109;313;18;1;102;47;32;2;202;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;110;304;9;4;60;73;57;5;208;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;111;344;12;0;75;68;29;3;187;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;9;;112;299;11;2;72;46;38;0;169;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;113;292;6;0;82;43;23;1;155;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;114;335;7;1;87;56;52;0;203;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;115;321;5;0;98;56;34;2;195;0;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;116;320;12;1;71;34;61;0;179;8;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;117;314;5;2;71;37;58;2;175;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;118;303;6;2;71;53;69;2;203;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;119;333;2;0;63;56;35;3;159;7;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;120;359;10;1;41;46;40;2;140;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;121;275;8;0;53;48;19;0;128;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;122;420;14;0;105;62;58;0;239;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;123;316;6;0;66;48;38;0;158;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;124;329;19;0;75;54;37;3;188;3;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;125;309;5;1;84;41;41;1;173;0;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;126;319;8;0;98;51;33;0;190;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;10;;127;309;10;0;69;48;43;2;172;6;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;11;;128A;251;6;0;20;14;24;0;64;0;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;11;;128B;295;4;0;67;57;25;0;153;1;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;11;;129;291;11;1;86;66;37;0;201;4;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;11;;130;308;15;0;75;64;33;2;189;5;
483;Deux-Montagnes;2014-04-07;G;Saint-Eustache, v;11;;131;297;14;0;65;55;19;1;154;14;
