Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chalhoub Claude É.A.P. - P.C.Q.;Cloutier Claudia C.A.Q.-É.F.L.;Laberge Xavier P.- Q.S.;Mailly François U.C.Q./Q.C.U.;Masse Vincent O.N. - P.I.Q.;Moreau Pierre P.L.Q./Q.L.P.;Pilon Laurent P.Q.;Sullivan Linda P.M.L.Q.;B.V.;B.R.;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;61;360;0;33;26;1;2;125;37;1;225;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;62;363;1;23;9;0;3;145;19;0;200;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;63;364;1;36;14;0;1;141;20;0;213;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;64A;239;0;35;6;1;2;107;19;0;170;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;8;;64B;222;0;21;4;0;1;92;18;0;136;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;9;;65;352;0;13;15;0;0;143;31;3;205;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;9;;66;347;1;43;3;0;0;138;36;2;223;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;9;;67;503;0;20;4;0;2;124;22;0;172;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;9;;68;363;2;20;11;0;0;61;25;1;120;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;9;;69;334;1;16;7;1;1;111;32;0;169;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;9;;70;350;1;20;7;0;0;151;34;1;214;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;10;;71;331;2;23;12;3;1;102;26;2;171;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;10;;72;310;1;23;7;0;0;80;37;0;148;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;10;;73;345;0;36;13;0;0;100;31;2;182;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;10;;74;345;0;30;13;0;0;119;32;0;194;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;10;;75;331;1;35;12;0;1;107;36;0;192;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;10;;76;340;2;29;5;1;2;104;19;2;164;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;11;;77;358;3;31;7;0;0;103;42;1;187;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;11;;78;370;0;24;5;0;1;125;38;0;193;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;11;;79;341;1;33;6;2;1;62;38;0;143;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;11;;80;393;0;33;10;1;0;98;38;1;181;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;11;;81;390;1;26;10;0;2;85;36;1;161;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;11;;82;373;1;41;7;0;0;119;29;0;197;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;12;;83;370;0;37;14;2;0;118;38;2;211;3;
173;Châteauguay;2014-04-07;G;Châteauguay, v;12;;84;354;0;47;4;0;2;135;40;2;230;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;12;;85;357;3;38;21;0;1;89;47;0;199;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;86;388;0;37;15;1;0;106;42;0;201;5;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;87;375;0;28;6;0;1;103;32;1;171;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;88;345;1;33;12;1;2;100;58;0;207;1;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;89;336;0;30;10;0;1;116;30;1;188;0;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;90;369;1;41;3;0;1;170;29;0;245;4;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;91;331;1;38;10;0;1;112;36;2;200;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;92;377;1;44;12;0;2;116;49;3;227;2;
173;Châteauguay;2014-04-07;G;Châteauguay, v;13;;93A;259;1;44;6;1;1;61;35;3;152;1;
