Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;André Marilou Q.S.;Chouinard Normand P.M.L.Q.;Gouin Jean-Pierre O.N. - P.I.Q.;Langlois Pierre P.Q.;Le Bouyonnec Stéphane C.A.Q.-É.F.L.;L'Heureux Guy É.A.P. - P.C.Q.;Merlini Richard P.L.Q./Q.L.P.;B.V.;B.R.;
183;La Prairie;2014-04-07;G;Candiac, v;3;;76;397;4;0;0;48;90;1;87;230;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;77;391;9;0;0;39;81;8;110;247;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;78A;273;5;1;1;19;62;0;81;169;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;78B;210;1;0;1;15;53;0;54;124;2;
183;La Prairie;2014-04-07;G;Candiac, v;3;;79A;254;9;0;0;35;44;0;39;127;2;
183;La Prairie;2014-04-07;G;Candiac, v;3;;79B;199;3;0;0;13;43;0;32;91;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;80;407;13;1;1;49;97;1;94;256;0;
183;La Prairie;2014-04-07;G;Candiac, v;3;;81;417;5;0;0;19;99;1;146;270;3;
183;La Prairie;2014-04-07;G;Candiac, v;3;;82A;225;3;0;1;23;60;1;59;147;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;82B;208;3;0;0;25;44;0;49;121;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;83A;288;4;0;0;23;67;0;87;181;1;
183;La Prairie;2014-04-07;G;Candiac, v;3;;83B;323;2;0;1;23;82;2;91;201;0;
183;La Prairie;2014-04-07;G;Saint-Philippe, m;1;;84A;263;12;0;1;39;68;0;40;160;4;
183;La Prairie;2014-04-07;G;Saint-Philippe, m;1;;84B;186;17;0;0;29;54;1;16;117;4;
183;La Prairie;2014-04-07;G;Saint-Philippe, m;1;;85;391;12;1;2;55;80;1;47;198;7;
