Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boudou-Laforce Étienne O.N. - P.I.Q.;Carbonneau Vincent J. P.V.Q./G.P.Q.;Collette Marcel É.A.P. - P.C.Q.;Hardy Guy P.L.Q./Q.L.P.;Hébert Réjean P.Q.;Lafrance Philippe B.P.;Lambert Lionel P.U.N.;Poulin André Q.S.;Stratford Gaston C.A.Q.-É.F.L.;B.V.;B.R.;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;130;397;3;0;0;63;63;3;0;16;43;191;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;131;390;1;2;2;56;74;1;0;11;48;195;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;132;401;2;4;1;73;70;0;1;17;47;215;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;133;399;1;1;0;76;83;2;0;21;59;243;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;134;401;6;3;0;58;74;3;2;11;59;216;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;36;;135;514;1;2;2;58;67;1;0;16;63;210;0;
111;Saint-François;2014-04-07;G;Sherbrooke, v;37;;136;410;0;3;2;50;63;3;2;11;44;178;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;37;;137;356;2;2;0;40;78;2;0;23;32;179;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;37;;138;351;1;3;0;62;77;1;0;12;54;210;4;
111;Saint-François;2014-04-07;G;Sherbrooke, v;37;;139;372;1;1;0;51;58;2;0;22;38;173;6;
111;Saint-François;2014-04-07;G;Sherbrooke, v;37;;140;358;1;0;0;84;73;2;0;23;48;231;2;
111;Saint-François;2014-04-07;G;Sherbrooke, v;37;;141;361;1;1;1;52;98;2;2;17;44;218;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;38;;142;377;0;0;0;79;85;1;0;20;48;233;3;
111;Saint-François;2014-04-07;G;Sherbrooke, v;38;;143;374;1;4;4;60;99;0;1;19;49;237;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;38;;144;382;2;2;4;93;81;2;0;22;54;260;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;38;;145;384;0;0;0;83;81;1;0;21;43;229;8;
111;Saint-François;2014-04-07;G;Sherbrooke, v;38;;146;381;2;0;0;63;90;2;0;16;46;219;5;
111;Saint-François;2014-04-07;G;Sherbrooke, v;38;;147;382;0;0;1;75;82;2;0;16;63;239;1;
111;Saint-François;2014-04-07;G;Coaticook, v;1;Regr. BVO-12;500;0;0;0;0;0;0;0;0;0;0;0;0;
111;Saint-François;2014-04-07;G;Coaticook, v;2;Regr. BVO-16;501;0;0;0;0;0;0;0;0;0;0;0;0;
