Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen Jamie C.A.Q.-É.F.L.;Comtois-Lussier Michaël P.Q.;Faour Ali Q.S.;Leitao Carlos J P.L.Q./Q.L.P.;Martinova-Croteau Viviane O.N. - P.I.Q.;Mireault Mathieu P.V.Q./G.P.Q.;Popert Patricia É.A.P. - P.C.Q.;B.V.;B.R.;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;15;;14;401;15;6;1;228;2;3;0;255;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;15;371;11;2;1;160;1;6;0;181;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;16;372;5;6;3;177;1;2;0;194;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;17;385;15;9;8;152;0;5;0;189;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;18;375;24;21;6;119;0;3;3;176;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;19;403;8;21;8;164;0;3;1;205;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;20;406;23;11;6;187;0;1;0;228;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;16;;21;411;15;20;8;129;0;6;0;178;2;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;17;;22;372;26;8;10;127;5;7;1;184;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;17;;23;369;32;19;11;138;1;7;0;208;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;17;;24;371;23;16;7;134;3;6;1;190;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;17;;25;382;36;19;13;116;1;5;0;190;1;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;17;;26;352;16;21;12;131;3;5;3;191;0;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;17;;27;365;20;15;13;126;2;5;3;184;3;
413;Robert-Baldwin;2014-04-07;G;Montréal, v;18;;28;412;35;12;18;145;1;4;1;216;2;
